Applicability,Service,Reporting period,Indicator,Value
All,Flickr,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"Flickr requires users to abide by our Terms and Conditions of Use, Community Guidelines, and Rules of Flickr, (""T&C"") which explain what is and isn't allowed on Flickr. These T&C govern all user activity on the platform, including the content users upload, how they interact with others, and how they manage the visibility settings of their content. In most cases, our already cover material that is illegal in the EU. We refer to these collectively as our ""Terms and Conditions"" or ""T&C,"" and explain each in more detail below. 
 
Terms and Conditions
Flickr is a platform dedicated to photography and visual storytelling. Our Terms and Conditions reflect that mission by setting standards for the types of content and conduct permitted on the platform. Key areas addressed include:
• Content safety levels. Flickr uses a tiered safety-level system (Safe, Moderate, Restricted) that requires users to accurately classify their own content. Content that is not assigned the proper safety level may have its classification corrected by Flickr, its visibility restricted, or be disabled.
• Adult and sexually explicit content. Sexually explicit videos are prohibited on Flickr. Adult themes, including nudity and sexual content in photo form, are permitted only on paid subscriber (Flickr Pro) accounts and must be properly classified under Flickr's safety-level system. Free-account users who post such content will have it disabled.
• Commercial activity. Commercial use of Flickr is permitted only on paid subscriber accounts. Free-account users engaged in commercial activity may have their content disabled or their accounts restricted.
• Protection of minors. Flickr maintains a zero-tolerance policy for child sexual abuse material (CSAM). CSAM is a one-strike offense resulting in immediate account termination and reporting to NCMEC. Flickr uses hash-matching technology to proactively detect known CSAM, and an AI classifier to detect novel CSAM. Matched content has its visibility automatically disabled pending human review. Content depicting the sexualization of minors that does not rise to the level of illegality is also prohibited. Child nudity, while permitted on Flickr when non-exploitative must be set to non-public visibility.
• Cyber violence and harassment. Flickr prohibits harassment, bullying, non-consensual intimate image sharing, and voyeur or tribute content. Violations may result in content removal, content disabling, or account termination depending on severity.
• Prohibited conduct. Flickr's T&Cs address a range of additional prohibited conduct, including spam, fraud, and other abusive behaviors.
 
Intellectual Property Policies
Flickr respects the intellectual property rights of others and expects all users to do the same. Flickr responds to complete and valid claims of copyright infringement in accordance with the DMCA and applicable EU law, and to trademark infringement claims. Content found to infringe intellectual property rights will be removed or disabled. Flickr may terminate the accounts of repeat infringers.
 
Spam and Fraud Prevention
Flickr uses rules-based automated evaluation workflows, including third-party tools (Sift), to prevent the creation of inauthentic accounts and to identify and close accounts engaged in prohibited spam or fraud activity. Flickr also uses a hybrid approach to moderate content which uses a combination of the automated system identification and human confirmation to identify accounts engaged in prohibited spam or fraud activity. These automated systems operate at the account-signup stage (blocking risky signups) and on an ongoing basis (detecting risky engagement patterns).
 
Data Protection and Privacy
Flickr processes requests invoking data subject rights under the GDPR and CCPA, including right-to-be-forgotten requests, account deletion requests, and content removal requests. Where a content owner is unresponsive to a removal request relating to their content, Flickr may temporarily privatize the content.
 
Enforcement Actions
When Flickr becomes aware of a violation of its T&Cs, whether through user reports, automated detection, or its own review, it takes appropriate action. The types of enforcement actions Flickr may apply include:
• Content removal. The content is permanently deleted from the platform.
• Content disabling. The content's visibility is disabled, making it inaccessible to other users while the matter is reviewed or resolved.
• Safety-level reclassification. The content's safety level is changed to restrict who may view it and limiting its distribution.
• Privacy-level change. The content's privacy setting is changed from public to non-public, limiting its audience.
• Account suspension. Certain account features are temporarily suspended.
• Account termination. The account is permanently deleted. This is the standard action for CSAM violations and may be applied for other serious or repeated violations.
 
Automated Content Moderation
Flickr uses automated means for content moderation in two primary contexts: (1) CSAM detection through hash-matching technology, which proactively disables content pending human review; and (2) spam and fraud prevention through rules-based risk-scoring workflows that block suspicious account creation and flag risky engagement. Due to the involvement of multiple automated systems, Flickr is not currently able to provide a single aggregate accuracy, precision, or recall metric, and is working to improve its measurement capabilities in this area.
 
Internal Complaints Mechanism
Users affected by Flickr's moderation decisions may submit complaints through Flickr's internal complaints mechanism. Flickr reviews complaints and may uphold, partially reverse, or fully reverse the original decision. Flickr currently lacks the data infrastructure to determine in all cases whether a particular enforcement action resulted from a user notice or from Flickr's own-initiative detection, or whether inaction on a notice led to a complaint.
 
EU Jurisdiction Determination
Flickr determines EU jurisdiction based on the account-level location field, which is set at account creation using IP geolocation. This field remains constant throughout the account lifecycle. Due to technical limitations, Flickr cannot perform real-time IP analysis on historical data or retrospectively verify user location at the time of each moderation action."
All,Flickr,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"For the purposes of this report, ""own initiative"" content moderation refers to decisions to impose restrictions on an account or certain content that have not been preceded by an order from an EU Member State authority or a notice submitted through a notice and action mechanism. This includes actions taken due to policy violations, whether following user reports or through proactive detection.

Flickr engages in content moderation at its own initiative to detect and address content that violates our Terms and Conditions of Use. However, Flickr does not engage in content moderation at its own initiative specifically for the purpose of identifying illegal content. Any actions Flickr takes related to illegal content are conducted either in accordance with our policies or in response to an order from an EU Member State authority, and Flickr does not proactively search for illegal content outside of these contexts. The one exception is child sexual abuse material (CSAM), where Flickr uses hash-matching technology to proactively identify known CSAM and disable it pending human review. Flickr is committed to receiving and processing orders from EU Member State authorities in accordance with the DSA. During the reporting period, Flickr received zero such orders. Flickr is actively working toward full compliance with the Article 16 notice and action mechanism and continues to develop the technical infrastructure needed to receive, process, and track Article 16 notices in the manner required by the DSA.

Reported Content
Any user can report content they believe violates Flickr's policies through Flickr's notice-and-action mechnism. If Flickr confirms a violation, appropriate enforcement action is taken. During the reporting period, Flickr received 71,862 user notices globally across all content categories, of which 5,039 were classified as relating to illegal content. 

Proactively Detected Content
Content that may violate Flickr's policies is also identified through proactive methods. Flickr's proactive detection mechanisms include:
• Hash-matching for CSAM. Flickr uses hash-matching technology to automatically identify known child sexual abuse material. Matched content has its visibility disabled immediately, pending human review. Confirmed CSAM results in account termination on first offense and reporting to NCMEC.
• Automated fraud and spam prevention. Flickr uses rules-based automated evaluation workflows, including a third-party service (Sift), to prevent the creation of inauthentic accounts at signup and to detect and close accounts engaged in prohibited spam or fraud activity on an ongoing basis.
• Manual proactive review. Flickr's Trust and Safety Team also identifies policy-violating content through manual review processes, including review of content flagged by automated systems that do not result in automatic action.

The mechanisms used to detect different potential violations vary based on available technology, the volume of violative content, and other factors such as the complexity of evaluation. Flickr continues to iterate and develop its tools and expects ongoing improvements as the team works to maintain a safe environment for the photographic community.

How Flickr takes Action on Content
When Flickr becomes aware of a violation of any of its policies, it enforces those policies through automated tools, manual review, and hybrid approaches that combine elements of both. These systems may use logic-based rules as well as hash-matching and risk-scoring technology. Where appropriate, Flickr may take into account information provided by trusted third parties and industry tools, including NCMEC hash lists for CSAM detection and Sift for fraud prevention.

During the reporting period, Flickr took 34,420 own-initiative enforcement actions through manual or hybrid review and 20,422 actions through solely automated means for T&C violations affecting EU users or content, as reported in tab 6_own_initiative_TC. An additional 991 own-initiative actions and 282 automated actions were taken against illegal content, as reported in tab 5_own_initiative_illegal."
All,Flickr,2025-01-01/2025-12-31,Qualitative description of the automated means,"We use automated tools and hybrid approaches (combining manual and automated actions) to enforce our policies. Where appropriate, we also consider information provided by trusted third parties and industry tools. 
• Automated actions: Our automated tools use a combination of signals to identify and take action against content identified as potentially violating our policies. Our automated tools can then use those scores to perform appropriate enforcement actions.
• Hybrid actions: Commonly, actions combine elements of manual and automated enforcement. Hybrid actions include those where automated systems identify a violation and an internal team member examines and verifies that content and account. All automated decisions are subject to human confirmation before enforcement action is taken."
All,Flickr,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"We are committed to evaluating and improving the effectiveness of our automated content moderation measures. Flickr operates multiple independent automated systems with distinct evaluation criteria, a single consolidated metric is not currently available. We expect to provide more granular quantitative metrics in the 2026 reporting cycle.

Our CSAM hash-matching system compares content against catalogues of confirmed material using perceptual hashing, producing a low false-positive rate. All detections undergo mandatory human review before permanent action is taken.
Our spam and fraud prevention system assigns risk scores to identify and block inauthentic accounts. This reflects a deliberate calibration choice to prioritize platform integrity at scale while relying on our complaint mechanism as the correction path. We continuously tune scoring thresholds in response to complaint and reversal data."
All,Flickr,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,"We use automated tools, including hash-matching and risk-scoring systems, to help enforce our policies across Flickr. These tools assist in identifying content and accounts that may require action under our policies. In addition to these detection capabilities, we also use automation to efficiently identify content. This approach allows us to enforce our guidelines across all content uploaded to Flickr."
All,Flickr,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,"Flickr applies several safeguards to its use of automated means. For CSAM, no automated system permanently removes content or terminates an account without human confirmation. All users affected by automated restrictions or terminations may submit a complaint through Flickr's internal complaint-handling mechanism. 

Flickr conducts periodic reviews of automated system outputs and adjusts thresholds based on complaint and reversal data. The Trust and Safety team receives training on the operation and limitations of each automated system and retains override authority over all automated decisions."
Only for VLOPs,,,High-level description of the content moderation governance structure,"Assessing reports can be complex because it requires both an understanding of context and specific content moderation expertise. As such, we have structured our teams and processes to help ensure that we are making accurate decisions when reviewing reported content.

Content moderation at Flickr is overseen by a dedicated Trust and Safety team, which reports to senior management. The team includes specialists trained in Flickr's Terms and Conditions and specialists trained to escalate to Legal for review of content against laws of the EU and its Member States. In the event of complex reports, team members escalate questions to Trust and Safety leadership and Legal, within and outside the company trained in laws of the EU and its Member States."
Only for VLOPs,,,Qualifications of the human resources dedicated to content moderation,
Only for VLOPs,,,Training given to human resources dedicated to content moderation,
Only for VLOPs,,,Support given to human resources dedicated to content moderation,
