Applicability,Service,Reporting period,Indicator,Value
All,Grindr,2025-02-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"Grindr proactively identifies and removes content that violates its Community Guidelines and applicable law through a combination of automated detection systems and trained human moderators. Automated tools operate continuously across multiple surfaces of the platform, including all profile photos and Right Now photos (reviewed before publication), direct messages, and private albums, detecting policy violations in categories including spam and fraud, sexual solicitation, drug solicitation, hate speech, child sexual abuse material (CSAM), and underage access. Primary enforcement actions include content removal and account termination at the device level for the most serious violations.

Human moderators support and oversee automated detection by reviewing content queued for assessment, resolving ambiguous cases, and prioritising the highest-risk categories, including potential child safety violations and off-platform harm, for expedited review. Grindr's moderation team, supported by outsourced partners, was expanded during the reporting period to strengthen oversight capacity. All moderators complete onboarding training covering platform policies, enforcement tools, and standard operating procedures, with ongoing quality assurance-informed refresher sessions. Enforcement actions are determined through a risk-tiered framework assessing harm severity, intent, frequency, and community impact, ranging from warnings to permanent device-level bans."
All,Grindr,2025-02-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"Grindr's own-initiative moderation operates across all areas of the platform without requiring users to submit a report. Automated classifiers continuously scan content, including all profile photos and Right Now photos before they become visible, private albums at the point of upload, and direct messages, detecting violations in categories including spam and fraud, sexual solicitation, drug solicitation, hate speech, underage use, and child sexual abuse material. Content flagged with high confidence is automatically actioned; content flagged with lower confidence is routed to human moderators for review. Grindr's prioritisation framework ensures the highest-harm content, including potential child safety risks and real-world harm, is reviewed first. Users whose accounts are restricted or banned may appeal through an in-app appeal button on the Account Banned screen, and ban reasons are communicated directly to affected users to support meaningful appeals."
All,Grindr,2025-02-01/2025-12-31,Qualitative description of the automated means,"Grindr deploys a layer of automated tools across different platform surfaces. For image moderation, AWS Rekognition classifies all public profile photos and Right Now photos against a broad range of prohibited content before publication, while Thorn's Safer technology applies cryptographic (MD5) and perceptual (PhotoDNA, SaferHash, SSVH for video) hash-matching to all user-uploaded images and videos, including private albums and a representative sample of chat images, to detect known child sexual abuse material. For text and behavioural moderation, Grindr's AI partner Musubi classifies direct message content against harm categories including spam and sexual solicitation. At the account and network level, Sift Science provides behavioural and device-level fraud scoring; Grindr's internal Sentinel engine flags suspicious patterns such as mass messaging, image reuse across accounts, and anomalous flag rates; Cloudflare provides network-level bot detection; and Google reCAPTCHA applies human-verification checks at account creation."
All,Grindr,2025-02-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Grindr deploys a layer of automated tools across different platform surfaces. For image moderation, AWS Rekognition classifies all public profile photos and Right Now photos against a broad range of prohibited content before publication, while Thorn's Safer technology applies cryptographic (MD5) and perceptual (PhotoDNA, SaferHash, SSVH for video) hash-matching to all user-uploaded images and videos, including private albums and a representative sample of chat images. For text and behavioural moderation, Grindr's AI partner Musubi classifies direct message content against harm categories including spam and sexual solicitation.

At the account and network level, Sift Science provides behavioural and device-level fraud scoring to identify fake accounts and coordinated abuse; Grindr's internal Sentinel engine flags suspicious patterns such as mass messaging, image reuse across accounts, and anomalous flag rates; Cloudflare provides network-level bot and anomaly detection; and Google reCAPTCHA applies human-verification checks at account creation and other high-risk user actions."
All,Grindr,2025-02-01/2025-12-31,Specification of the precise purposes to apply automated means,"Grindr monitors the accuracy of its automated systems through several internal indicators. False positive rates (instances where automated systems incorrectly ban or restrict users not in violation) are tracked as the primary accuracy signal, particularly following the deployment of Musubi in February 2025. Ban appeal outcomes serve as a downstream accuracy proxy: when an automated ban is overturned on appeal, that outcome feeds back into confidence threshold adjustments and model retraining. Human moderators also routinely sample and assess automated decisions, and disagreement rates between human and machine judgments are used as an ongoing calibration signal.

Grindr does not currently report standardised precision and recall metrics for all automated moderation categories; for vendor-maintained systems, performance benchmarks are validated by the respective vendors (AWS Rekognition, Thorn Safer). Grindr is developing the internal measurement infrastructure to produce and report standardised accuracy metrics across all harm types in future reporting cycles."
All,Grindr,2025-02-01/2025-12-31,Safeguards applied to the use of automated means,"Grindr applies a range of safeguards to ensure its automated moderation systems operate proportionately and accurately. All automated moderation decisions above defined confidence thresholds are subject to human moderator review before enforcement in ambiguous or moderate-confidence cases; only high-confidence detections result in automatic action without prior human review. For CSAM specifically, all hash-matching detections are routed to specialist child safety moderators for confirmation before enforcement action is taken and before reports are submitted to NCMEC. Automated classification systems for text and image content are continuously recalibrated based on appeal outcomes, human-automation disagreement rates, and quality assurance sampling.

Users subject to automated enforcement actions retain the right to appeal through an in-app appeal mechanism, and appeal outcomes are used to identify and correct over-enforcement. No user content processed by automated classifiers is shared externally or transmitted outside Grindr's secure technical environment, a requirement applied to all proactive moderation vendors at the point of onboarding. For CSAM hash-matching via Thorn Safer, only hash values (not original media) are transmitted externally via API, ensuring user content does not leave Grindr's infrastructure."
Only for VLOPs,Grindr,2025-02-01/2025-12-31,High-level description of the content moderation governance structure,N/A to Grindr
Only for VLOPs,Grindr,2025-02-01/2025-12-31,Qualifications of the human resources dedicated to content moderation,N/A to Grindr
Only for VLOPs,Grindr,2025-02-01/2025-12-31,Training given to human resources dedicated to content moderation,N/A to Grindr
Only for VLOPs,Grindr,2025-02-01/2025-12-31,Support given to human resources dedicated to content moderation,N/A to Grindr
Only for VLOPs,Grindr,2025-02-01/2025-12-31,Methodology used to compute the number of human resources dedicated to content moderation,N/A to Grindr
