Applicability,Service,Reporting period,Indicator,Value
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"Vimeo helps businesses and professionals use video to connect with audiences, motivate teams, and drive cultural and financial growth. We serve a diverse user base, ranging from award-winning filmmakers to globally distributed teams at some of the world’s largest enterprises. Vimeo offers a comprehensive suite of video tools through a Software-as-a-Service (SaaS) model. Our platform provides solutions for video hosting, creation, editing, analytics, AI-driven language translation, and enterprise-specific features. Unlike other platforms, Vimeo does not operate a content discovery service in the EU or generate revenue from advertisements. Vimeo maintains a strong commitment to transparency and user safety.

We maintain globally consistent policies that aim to provide a safe and positive experience for our users. Our Terms of Service and Acceptable Use Community Guidelines clearly define what is and is not allowed on our platform. 

Content Moderation Actions. If content is found to violate our policies, then we may (1) issue a warning, (2) remove or restrict the content, or (3) deactivate or ban the user’s account. If a user commits serious violations or repeatedly violates our policies, we may suspend or terminate that user's account(s) and prohibit that user from opening new accounts. Vimeo requires users to rate their videos and identify content that includes nudity, violence, profanity, illegal, or advertisements. (See Our Content Ratings policy for more information)"
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"Vimeo’s approach to content moderation is intended to balance safety with freedom of expression. We employ a combination of techniques, involving technology and human review, to detect and mitigate the risk of illegal and policy violating content uploaded on our platform. We also encourage users to report content they believe violates our Terms of Service. Our moderators review reports and take appropriate action.

Content Moderation Team. Vimeo has a Trust & Safety team dedicated to keeping Vimeo a safe space for everyone. They use a combination of technology and human review to identify and remove harmful content quickly and enforce our policies effectively. The team also supports our users by resolving content moderation reports and appeals. 

Automation Tools. Vimeo also uses automated tooling to enhance our content moderation detection efforts. These tools analyze data for potential harmful content, identify and prioritize urgent cases for manual review, and issue automatic takedowns for certain violations. 

Third-Party Support. In addition, Vimeo uses external vendors to strengthen our detection and prevention mechanisms for high-priority harmful content.

Based on our current content moderation tools and processes, we estimate that violating content receives a worldwide average of 43.8 views and reaches approximately 17.24 users before any moderation action is taken. This estimation considers both manual and automated detection methods employed by Vimeo."
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Qualitative description of the automated means,"Our Trust & Safety specialists operate on a 24x7 schedule, reviewing content flagged by both users and our automated systems. Our technology helps prioritize content for review and employs matching technology to identify identical copies of previously removed content. This supports our ability to swiftly remove or restrict re-uploads that violate our policies. 

Vimeo employs three primary forms of technology to detect and prevent content policy violations. Our hash-blocking system identifies identical copies of previously removed egregious content or accounts, enabling automatic blocking, removal, or flagging for manual review.  Additionally, our proprietary tool monitors video metadata for keywords that may indicate policy violations, allowing for immediate automated content removal or flagging for human review. Finally, Vimeo relies on industry recognized software to identify high-priority content for removal, such as child sexual abuse material (CSAM), using automated scans and content fingerprinting techniques. These technologies work in concert to support our content moderation efforts and maintain a safer online environment."
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Vimeo utilizes automated systems to resolve certain user reports and quickly identify known prohibited content. These automated systems are partially informed by past manual content assessments to determine whether content violates our policies. 

Users receive notifications if they are impacted by a content moderation decision, including when they are the reporting party. This notice describes our decision and their right to appeal. We continuously evaluate the efficacy of our automated content moderation tools and consider how often we overturn automated actions. We track the percentage of content that was automatically removed and later restored to estimate the accuracy of our systems. Based on our review, we have found that not all restored content was wrongly removed, and not all wrongly removed content gets restored. As such, we are only able to approximate the level of accuracy.

Based on our assessment of appeal outcomes and reinstatement rates, we estimate that our automated system’s error rate was less than 1% for content removed during this reporting period. Vimeo remains committed to improving our automated systems and exploring investments in machine learning."
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Specification of the precise purposes to apply automated means,"As noted above, Vimeo uses a combination of technology and human review to identify and address harmful content. Our automated tools are implemented and developed in an effort to keep pace with our content moderation needs for detection, prevention, and enforcement.  Vimeo had millions of videos uploaded in 2024 and utilized automated tools to quickly identify potentially violating content, prioritize urgent cases for manual review, and automatically take action on clear violations. This, in turn, supports our ability to scale our content moderation efforts and respond more effectively to online harms. 

Automated Tools to Combat CSAM. Vimeo has a zero tolerance policy for CSAM and a blanket ban on child nudity. We utilize Safer by Thorn, a vendor, to scan our platform to identify any known CSAM. These automated measures help prevent the Vimeo.com platform from hosting abusive content and deter bad actors. To support efforts to detect and report CSAM, we use hash matching technology. This technology creates a unique digital fingerprint for the content so it can be compared with known CSAM hashes."
All,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Safeguards applied to the use of automated means,"Vimeo continues to invest in automated detection systems and maturing our content moderation practices. We use a combination of technology and human reviews to swiftly identify and address potentially harmful content. This approach helps us maintain a safe platform while improving our tools. To maintain a high level of accuracy in our automated technology, we conduct quality evaluations and implement overlapping compliance measures. Additionally, Vimeo generally allows users to appeal content moderation decisions they believe are incorrect. These appeals are manually reviewed, which helps us identify and address potential inconsistencies in our automated systems."
Only for VLOPs,"Vimeo.com, Inc.",2024-02-17/2024-12-31,High-level description of the content moderation governance structure,"Vimeo.com, Inc. is not considered a VLOP under the DSA"
Only for VLOPs,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Qualifications of the human resources dedicated to content moderation,"Vimeo.com, Inc. is not considered a VLOP under the DSA"
Only for VLOPs,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Training given to human resources dedicated to content moderation,"Vimeo.com, Inc. is not considered a VLOP under the DSA"
Only for VLOPs,"Vimeo.com, Inc.",2024-02-17/2024-12-31,Support given to human resources dedicated to content moderation,"Vimeo.com, Inc. is not considered a VLOP under the DSA"
