Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
TOTAL,All the entries,TOTAL,"This category reflects the total number of entries reported across all categories. 

Please note that where the categories and subcategories below are blank, this indicates that no policies or illegality reasons have been mapped to the particular category or subcategory. However, this does not necessarily mean we do not enforce against that type of content. In some cases, that content may be captured under a different category or subcategory."
Category 1,Animal welfare,STATEMENT_CATEGORY_ANIMAL_WELFARE,"This category covers violations of our Community and Advertising Guidelines related to animal welfare. We remove or limit the distribution or promotion of or profiting from harm to animals, including the sale or exploitation of wild or protected species and other practices that put animal welfare at risk. We also enforce against ads and products that use animals in harmful ways, including products made from endangered wildlife, consistent with our policies and in collaboration with external experts."
Category 1a,Animal harm,KEYWORD_ANIMAL_HARM,"The subcategory covers violations of our prohibited and regulated goods, services and activities Community Guidelines policy related to protected or endangered wildlife and animal exploitation. It also includes violations of our Advertising Guidelines related to animal harm."
Category 1b,Unlawful sale of animals,KEYWORD_UNLAWFUL_SALE_ANIMALS,"This subcategory covers violations of our prohibited and regulated goods, services and activities Community Guidelines policy related to the exploitation and sale of animals. It also includes violations of our Advertising Guidelines related to the sale of products made from tortoise shell, ivory, coral, crocodile skin, pangolin, tiger, polar bear or sea otter fur, and other endangered wildlife."
Category 1c,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 2,Consumer information infringements,STATEMENT_CATEGORY_CONSUMER_INFORMATION,"This category covers violations of our Advertising and Merchant Guidelines related to information that merchants and advertisers are required to provide about their products and services. We require clear and accurate information about product quality, pricing, delivery and returns, and we take enforcement action when this information is missing, incomplete or misleading."
Category 2a,"Hidden advertisement or commercial communication, including by influencers ",KEYWORD_HIDDEN_ADVERTISEMENT,
Category 2b,Insufficient information on traders ,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,"This subcategory covers violations of our Advertising and Merchant Guidelines related to merchants and ads that fail to provide sufficient basic information about themselves, including contact details, an “about us” page or functioning links. "
Category 2c,Misleading information about the characteristics of the goods and services,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,This subcategory covers violations of our Merchant Guidelines related to mismatched descriptions and missing product categories. 
Category 2d,Misleading information about the consumer’s rights ,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,This subcategory covers violations of our Merchant Guidelines related to the findability and clarity of a merchant’s returns policy. 
Category 2e,Non-compliance with pricing regulations  ,KEYWORD_NONCOMPLIANCE_PRICING,
Category 2f,Not captured by any other sub-category ,KEYWORD_OTHER,"This subcategory covers other violations of our Advertising and Merchant Guidelines related to consumer information that are not covered by specific subcategories, including incomplete registrations and issues with return timelines. It also includes violations of our unacceptable business practices policy, under the Advertising Guidelines, related to certain prohibited products, services or business models"
Category 3,Cyber violence,STATEMENT_CATEGORY_CYBER_VIOLENCE,"This category covers violations of our harassment and criticism Community Guidelines policy related to content or accounts that insult, attack or antagonise individuals or groups of people, including cyberbullying, shaming, personal attacks and sexualized or degrading remarks. 

It also includes reports received through our European Union Illegal Content Reporting Form for ""harassment"", including online stalking or sexual harassment and orders from EU Member States' authorities to provide information related to harassment, protective order violations and school shootings."
Category 3a,Cyber bullying and intimidation,KEYWORD_CYBER_BULLYING_INTIMIDATION,
Category 3b,Cyber harassment,KEYWORD_CYBER_HARASSMENT,"This subcategory covers violations of our harassment and criticism Community Guidelines policy related to derogatory criticism, sexual remarks and doxxing.

It also includes reports received through our European Union Illegal Content Reporting Form for ""harassment"", including online stalking or sexual harassment and orders from EU Member States' authorities to provide information related to harassment, protective order violations and school shootings."
Category 3c,Cyber incitement to hatred or violence,KEYWORD_CYBER_INCITEMENT,
Category 3d,Cyber stalking,KEYWORD_CYBER_STALKING,
Category 3e,"Non-consensual (intimate) material sharing, including (image-based) sexual abuse (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,This subcategory covers violations of our Community Guidelines related to the non-consensual sharing of intimate images of adults.
Category 3f,Non-consensual sharing of material containing deepfake or similar technology using a third party's features (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,This subcategory covers violations of our harassment and criticism Community Guidelines policy related to synthetically generated or manipulated content designed to degrade and/or shame.
Category 3g,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 4,Cyber violence against women,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,"Pinterest does not currently assess or record the gender or sex of individuals depicted or referenced in content. For this reason, we do not report separate volumes in this category and instead reflect relevant violations in the broader cyber violence category."
Category 4a,Cyber bullying and intimidation against girls,KEYWORD_BULLYING_AGAINST_GIRLS,
Category 4b,Cyber harassment against women,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,
Category 4c,Cyber stalking against women,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,
Category 4d,Gendered disinformation,KEYWORD_FEMALE_GENDERED_DISINFORMATION,
Category 4e,Illegal incitement to violence and hatred against women,KEYWORD_INCITEMENT_AGAINST_WOMEN,
Category 4f,"Non-consensual (intimate) material sharing against women, including (image-based) sexual abuse against women (excluding content depicting minors)",KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,
Category 4g,Non-consensual sharing of material containing deepfake or similar technology using a third party's features against women (excluding content depicting minors),KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,
Category 4h,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 5,Data protection and privacy violations,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,"This category covers violations of our private information Community Guidelines policy related to content or behaviour that discloses personally identifiable information or other sensitive information. 

It also includes reports received through our European Union Illegal Content Reporting Form for ""violation of privacy""."
Category 5a,Biometric data breach,KEYWORD_BIOMETRIC_DATA_BREACH,This category covers violations of our private information Community Guidelines policy related to content including sensitive information that could result in harm or distress if revealed.
Category 5b,Data falsification,KEYWORD_DATA_FALSIFICATION,
Category 5c,Missing processing ground for data,KEYWORD_MISSING_PROCESSING_GROUND,
Category 5d,Right to be forgotten,KEYWORD_RIGHT_TO_BE_FORGOTTEN,This subcategory covers violations of our private information Community Guidelines policy related to photos or other content about private individuals who request that such content not be available on Pinterest.
Category 5e,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory covers other violations of our private information Community Guidelines policy related to content or behaviour that reveals personally identifiable or other sensitive information.

It also includes reports received through our European Union Illegal Content Reporting Form for ""violation of privacy""."
Category 6,Illegal or harmful speech,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,"This category covers violations of our hateful activities Community Guidelines policy related to content that includes slurs, hate-based stereotypes, support for hate groups or ideologies, hate-based conspiracies, denial of people’s gender identity or sexual orientation or content that condones violence or discrimination against protected groups. 

It also includes reports received through our European Union Illegal Content Reporting Form for ""affront to personal honor"" and ""hate speech, hateful acts and discrimination""."
Category 6a,Defamation,KEYWORD_DEFAMATION,This subcategory covers reports received through our European Union Illegal Content Reporting Form for “affront to personal honor.” The affront to personal honor category includes insults or defamation.
Category 6b,Discrimination,KEYWORD_DISCRIMINATION,"This subcategory covers violations of our hateful activities Community Guidelines policy related to discriminatory content, including cultural appropriation and denial of an individual’s gender identity or sexual orientation."
