Εφαρμογή,Υπηρεσία,Περίοδος υποβολής εκθέσεων,Δείκτης,Τιμή
Όλοι,Skroutz,2025-02-17/2025-12-31,Περίληψη του ελέγχου περιεχομένου που πραγματοποιήθηκε με πρωτοβουλία των παρόχων,"Κατά την οικεία περίοδο αναφοράς, η Skroutz προέβη, με δική της πρωτοβουλία, σε τακτικούς και πολυεπίπεδους ελέγχους του περιεχομένου που διαδίδεται μέσω της Πλατφόρμας, με σκοπό την πρόληψη, ανίχνευση και αντιμετώπιση περιεχομένου ή πληροφοριών που ενδέχεται να παραβιάζουν την κείμενη νομοθεσία, τους όρους χρήσης της υπηρεσίας ή/και τις εσωτερικές πολιτικές της. Ο έλεγχος αυτός αφορούσε τόσο το περιεχόμενο και τις πληροφορίες που παρέχονται από συνεργάτες-πωλητές σε σχέση με προϊόντα και προσφορές, όσο και το περιεχόμενο που αναρτούν οι χρήστες (ενδεικτικώς αξιολογήσεις, σχόλια, εικόνες και λοιπά συναφή στοιχεία).

Η αυτεπάγγελτη εποπτεία πραγματοποιήθηκε μέσω συνδυασμού αυτοματοποιημένων εργαλείων, χειροκίνητου ελέγχου και διασταυρώσεων με δημόσιες πηγές και μητρώα. Ειδικότερα, η Skroutz χρησιμοποίησε, κατά περίπτωση, φίλτρα λέξεων-κλειδιών, τεχνικές ανάλυσης κειμένου και εικόνας, συστήματα εντοπισμού ύποπτων μοτίβων συμπεριφοράς και μηχανισμούς σηματοδότησης (flagging), με σκοπό τον αρχικό εντοπισμό περιεχομένου ή συμπεριφορών που ενδέχεται να είναι παράνομες, παραπλανητικές, καταχρηστικές ή άλλως μη συμβατές με τους όρους της Πλατφόρμας. Παράλληλα, διενεργήθηκαν τακτικοί έλεγχοι σε δημόσια προσβάσιμες πηγές και βάσεις δεδομένων αρμόδιων εθνικών και ενωσιακών φορέων, με σκοπό τον εντοπισμό προϊόντων ή πρακτικών που ενδέχεται να υπόκεινται σε απαγόρευση, περιορισμό ή ανάκληση.

Ως προς τους εμπόρους, η Πλατφόρμα εφαρμόζει προληπτικούς ελέγχους επί των καταλόγων προϊόντων πριν από την προβολή τους, μέσω αυτοματοποιημένων φίλτρων και δειγματοληπτικών χειροκίνητων ελέγχων από την αρμόδια ομάδα περιεχομένου, ώστε να εντοπίζονται προϊόντα που δεν επιτρέπεται να διατεθούν ή δεν συμμορφώνονται με τις απαιτήσεις της νομοθεσίας και των όρων συνεργασίας. Ως προς τους χρήστες, η αρμόδια ομάδα community προβαίνει σε προληπτικούς και κατασταλτικούς ελέγχους για τον εντοπισμό περιεχομένου ή συμπεριφορών που ενδέχεται να παραβιάζουν το εφαρμοστέο πλαίσιο ή τους όρους της Πλατφόρμας.

Κατόπιν των ανωτέρω ελέγχων, και μετά από κατά περίπτωση ανθρώπινη αξιολόγηση, η Skroutz δύναται να λαμβάνει τα κατάλληλα μέτρα, όπως ενδεικτικώς μη προβολή ή απόρριψη περιεχομένου/προϊόντος, αφαίρεση ή περιορισμό ορατότητας, σήμανση ή προώθηση προς περαιτέρω έλεγχο, καθώς και, όπου απαιτείται, λήψη μέτρων επί λογαριασμών χρηστών ή συνεργατών-πωλητών. Περαιτέρω, η Skroutz υποστηρίζει τις σχετικές διαδικασίες με εσωτερικές πολιτικές, συνεχή εκπαίδευση των αρμόδιων ομάδων και συνεργασία με αρμόδιες αρχές και εξειδικευμένους συμβούλους, με σκοπό τη διαρκή ενίσχυση της ασφάλειας και της συμμόρφωσης στην Πλατφόρμα."
Όλοι,Skroutz,2025-02-17/2025-12-31,Ουσιαστικές και κατανοητές πληροφορίες σχετικά με τον έλεγχο περιεχομένου που πραγματοποιήθηκε με πρωτοβουλία των παρόχων,"Κατά τη διάρκεια της οικείας περιόδου αναφοράς, η Skroutz προέβη, με δική της πρωτοβουλία, σε τακτικούς ελέγχους του περιεχομένου που διαδίδεται μέσω της Πλατφόρμας, με σκοπό την πρόληψη, ανίχνευση και αντιμετώπιση περιεχομένου ή πληροφοριών που ενδέχεται να παραβιάζουν το εφαρμοστέο νομοθετικό πλαίσιο, τους όρους χρήσης της υπηρεσίας ή/και τις εσωτερικές πολιτικές της. Ο έλεγχος αυτός αφορούσε τόσο το περιεχόμενο και τις πληροφορίες που παρέχονται από συνεργάτες-πωλητές σε σχέση με προϊόντα και προσφορές, όσο και το περιεχόμενο που αναρτούν οι χρήστες στην Πλατφόρμα.

Η αυτεπάγγελτη εποπτεία διενεργείται μέσω συνδυασμού αυτοματοποιημένων εργαλείων, ανθρώπινου ελέγχου και διασταυρώσεων με δημόσιες πηγές και μητρώα, και, σε κάθε περίπτωση, ολοκληρώνεται με ανθρώπινη αξιολόγηση. Ειδικότερα, η Skroutz χρησιμοποιεί, κατά περίπτωση, φίλτρα λέξεων-κλειδιών και φράσεων, αλγορίθμους ανάλυσης κειμένου και εικόνας, συστήματα εντοπισμού ύποπτων μοτίβων συμπεριφοράς και μηχανισμούς σηματοδότησης (flagging), με σκοπό τον αρχικό εντοπισμό περιεχομένου ή συμπεριφορών που ενδέχεται να είναι παράνομες, προσβλητικές, παραπλανητικές, καταχρηστικές ή άλλως μη συμβατές με τους όρους της Πλατφόρμας. Παράλληλα, η Εταιρεία προβαίνει τακτικά και συστηματικά σε ελέγχους και διασταυρώσεις με δημόσια μητρώα και επίσημες πηγές, όπως, ενδεικτικώς, το Safety Gate, καθώς και δημόσιες πληροφορίες ή δημοσιεύσεις αρμόδιων εποπτικών ή ρυθμιστικών αρχών, προκειμένου να εντοπίζονται προϊόντα ή πρακτικές που ενδέχεται να υπόκεινται σε απαγόρευση, περιορισμό ή ειδικές κανονιστικές απαιτήσεις.

Κατόπιν του αυτεπάγγελτου ελέγχου και, σε κάθε περίπτωση, μετά από ανθρώπινη αξιολόγηση, η Skroutz δύναται να προβαίνει στη λήψη των αναγκαίων μέτρων περιορισμού ή συμμόρφωσης, όπως, ενδεικτικώς, μη προβολή ή απόρριψη περιεχομένου/προϊόντος, αφαίρεση ή περιορισμό ορατότητας, σήμανση ή προώθηση προς περαιτέρω έλεγχο, καθώς και, όπου απαιτείται, λήψη μέτρων επί λογαριασμών χρηστών ή συνεργατών-πωλητών."
Όλοι,Skroutz,2025-02-17/2025-12-31,Ποιοτική περιγραφή των αυτοματοποιημένων μέσων,"Ειδικότερα, τα αυτοματοποιημένα εργαλεία και οι τεχνολογίες που χρησιμοποιεί η Skroutz για την ανίχνευση, πρόληψη και αντιμετώπιση παράνομου ή μη επιτρεπτού περιεχομένου στην Πλατφόρμα συνοψίζονται, σε γενικές γραμμές, ως εξής:

Φίλτρα λέξεων-κλειδιών και φράσεων: Η Skroutz χρησιμοποιεί αυτοματοποιημένους μηχανισμούς αναγνώρισης συγκεκριμένων λέξεων, φράσεων ή λεκτικών μοτίβων, με σκοπό τον αρχικό εντοπισμό περιεχομένου που ενδέχεται να είναι παραβατικό, προσβλητικό ή αντίθετο στους όρους χρήσης της Πλατφόρμας, καθώς και, όπου εφαρμόζεται, τη μη προβολή ή την προώθησή του σε περαιτέρω έλεγχο.

Αλγόριθμοι μηχανικής μάθησης για ανάλυση κειμένου και εικόνας: Η Skroutz αξιοποιεί μοντέλα μηχανικής μάθησης, εκπαιδευμένα στην επεξεργασία και ανάλυση κειμενικού και οπτικού περιεχομένου, με σκοπό, μεταξύ άλλων, την αναγνώριση προϊόντων των οποίων η πώληση απαγορεύεται ή υπόκειται σε ειδικούς περιορισμούς βάσει της ισχύουσας νομοθεσίας ή/και των όρων της Πλατφόρμας, καθώς και τον εντοπισμό ενδείξεων μη συνήθους ή ύποπτης τιμολόγησης, όπως ασυνήθιστα χαμηλές τιμές πώλησης που ενδέχεται να απαιτούν περαιτέρω έλεγχο.

Συστήματα ανίχνευσης δόλιας ή καταχρηστικής δραστηριότητας: Η Skroutz χρησιμοποιεί αυτοματοποιημένα συστήματα ανάλυσης μοτίβων συμπεριφοράς, με σκοπό τον εντοπισμό ενδείξεων δόλιας ή καταχρηστικής δραστηριότητας εκ μέρους χρηστών ή/και συνεργατών-πωλητών. Τα συστήματα αυτά λαμβάνουν υπόψη, ενδεικτικώς, επαναλαμβανόμενα μοτίβα συμπεριφοράς, την ιστορικότητα των συναλλαγών και λοιπά συναφή σήματα κινδύνου, όπως ύποπτες συναλλαγές μεταξύ συνδεδεμένων λογαριασμών ή αιφνίδιες και μη αναμενόμενες αυξήσεις σε όγκους πωλήσεων, οι οποίες ενδέχεται να υποδηλώνουν μη συμμορφούμενη ή παραπλανητική δραστηριότητα.

Συστήματα σηματοδότησης (flagging) περιεχομένου και λογαριασμών: Η Skroutz εφαρμόζει αυτοματοποιημένους μηχανισμούς σηματοδότησης περιεχομένου ή/και λογαριασμών, όταν προκύπτουν ενδείξεις ότι το σχετικό περιεχόμενο ενδέχεται να είναι παράνομο, απειλητικό, προσβλητικό ή καταχρηστικό, ή ότι συγκεκριμένος χρήστης εμφανίζει παραβατική ή καταχρηστική συμπεριφορά. 

Τα ανωτέρω αυτοματοποιημένα μέσα λειτουργούν, κατά κανόνα, ως εργαλεία αρχικού εντοπισμού, προληπτικής εποπτείας και υποστήριξης της αξιολόγησης, με σκοπό την αποτελεσματικότερη διαχείριση του περιεχομένου και των πληροφοριών που διακινούνται στην Πλατφόρμα. Δεν αποτελούν, αφ’ εαυτών, τον αποκλειστικό μηχανισμό λήψης τελικών αποφάσεων, οι οποίες, όπου απαιτείται, επιβεβαιώνονται ή επανεξετάζονται από ανθρώπινο παράγοντα."
Όλοι,Skroutz,2025-02-17/2025-12-31,Ποιοτική περιγραφή των δεικτών ακρίβειας και του πιθανού ποσοστού σφάλματος των αυτοματοποιημένων μέσων,"Κατά το παρόν στάδιο, η Skroutz δεν τηρεί αυτοτελείς, τυποποιημένους και δημοσιοποιήσιμους ποσοτικούς δείκτες ακρίβειας ή προκαθορισμένο ποσοστό σφάλματος για τα αυτοματοποιημένα μέσα που χρησιμοποιούνται υποστηρικτικά στο πλαίσιο της εποπτείας περιεχομένου. Τούτο οφείλεται στο ότι τα εν λόγω μέσα λειτουργούν κυρίως ως εργαλεία αρχικού εντοπισμού, σηματοδότησης και προτεραιοποίησης, και όχι ως αποκλειστικός μηχανισμός λήψης τελικών αποφάσεων.

Η αποτελεσματικότητά τους αξιολογείται, επί του παρόντος, κυρίως σε ποιοτικό και λειτουργικό επίπεδο, ιδίως με βάση τη χρησιμότητα των παραγόμενων ενδείξεων για τις αρμόδιες ομάδες ελέγχου, καθώς και την ανάγκη τυχόν διορθώσεων ή αναπροσαρμογών σε περιπτώσεις ψευδώς θετικών ή ψευδώς αρνητικών αποτελεσμάτων. Παράλληλα, η Skroutz βρίσκεται σε διαδικασία περαιτέρω ωρίμανσης των σχετικών εσωτερικών διαδικασιών, με στόχο τη σταδιακή ενίσχυση της εσωτερικής παρακολούθησης και αποτίμησης της απόδοσης των αυτοματοποιημένων μέσων, όπου αυτό κρίνεται πρόσφορο και αναλογικό."
Όλοι,Skroutz,2025-02-17/2025-12-31,Εξειδίκευση των συγκεκριμένων σκοπών για την εφαρμογή αυτοματοποιημένων μέσων,"Η Skroutz εφαρμόζει αυτοματοποιημένα μέσα για συγκεκριμένους, σαφώς προσδιορισμένους και περιορισμένους σκοπούς, οι οποίοι συνδέονται με την πρόληψη, ανίχνευση, αξιολόγηση και διαχείριση περιεχομένου ή πληροφοριών που ενδέχεται να παραβιάζουν το εφαρμοστέο νομοθετικό πλαίσιο, τους όρους χρήσης της Πλατφόρμας ή/και τις εσωτερικές πολιτικές ασφάλειας και συμμόρφωσης.

Ειδικότερα, η Skroutz αξιοποιεί αυτοματοποιημένα εργαλεία και τεχνολογικούς μηχανισμούς, ιδίως: (α) για τον έλεγχο προϊόντων και των σχετικών πληροφοριών που παρέχονται από τους εμπόρους, συμπεριλαμβανομένης της επεξεργασίας και αξιολόγησης στοιχείων που αφορούν τα χαρακτηριστικά των προϊόντων, με σκοπό να διασφαλίζεται ότι δεν πρόκειται για προϊόντα των οποίων η διάθεση απαγορεύεται από τη νομοθεσία ή αντιβαίνει στους όρους χρήσης των υπηρεσιών της Πλατφόρμας· (β) για τον έλεγχο περιεχομένου χρηστών που αναρτάται στην Πλατφόρμα, όπως ενδεικτικώς αξιολογήσεις, σχόλια, εικόνες, βίντεο και λοιπά συναφή στοιχεία, με σκοπό τον αρχικό εντοπισμό περιεχομένου που ενδέχεται να είναι προσβλητικό, παραπλανητικό, καταχρηστικό, αντίθετο στους όρους της Πλατφόρμας ή/και ενδεχομένως παράνομο· και (γ) για την υποστήριξη της εποπτείας και της ασφάλειας των συναλλαγών στην Πλατφόρμα, μέσω του εντοπισμού μοτίβων ή ενδείξεων που ενδέχεται να σχετίζονται με μη συμμορφούμενη συμπεριφορά, παραπλανητικές πρακτικές ή άλλες μορφές παραβατικότητας που επηρεάζουν την ασφαλή λειτουργία της υπηρεσίας.

Τα ανωτέρω αυτοματοποιημένα μέσα λειτουργούν, κατά κανόνα, ως εργαλεία αρχικού εντοπισμού και υποστήριξης και όχι ως αποκλειστικός μηχανισμός λήψης τελικών αποφάσεων, οι οποίες, σε κάθε περίπτωση, επιβεβαιώνονται ή επανεξετάζονται από ανθρώπινο παράγοντα. Σκοπός της χρήσης τους είναι η αποτελεσματικότερη και ταχύτερη διαχείριση του περιεχομένου και των πληροφοριών που διακινούνται στην Πλατφόρμα, με γνώμονα την προστασία των χρηστών, τη συμμόρφωση με το εφαρμοστέο δίκαιο και τη διασφάλιση της εύρυθμης και ασφαλούς λειτουργίας της υπηρεσίας."
Όλοι,Skroutz,2025-02-17/2025-12-31,Διασφαλίσεις που εφαρμόστηκαν για τη χρήση αυτοματοποιημένων μέσων,"Η Skroutz, στον βαθμό που χρησιμοποιεί αυτοματοποιημένα μέσα για σκοπούς εντοπισμού, αξιολόγησης, υποστήριξης αποφάσεων σχετικών με τον έλεγχο περιεχομένου, εφαρμόζει κατάλληλες οργανωτικές και τεχνικές διασφαλίσεις, ώστε η χρήση τους να παραμένει στοχευμένη, αναλογική και συμβατή με τις απαιτήσεις του Κανονισμού (ΕΕ) 2022/2065. Ειδικότερα, τα αυτοματοποιημένα μέσα χρησιμοποιούνται υποστηρικτικά και όχι ως αποκλειστικό κριτήριο λήψης απόφασης. Κάθε σχετική απόφαση υπόκειται, κατά περίπτωση, σε ανθρώπινη επιβεβαίωση και, όπου απαιτείται, σε ανθρώπινη επανεξέταση πριν από την οριστικοποίηση ή επικύρωση τυχόν μέτρων, ιδίως σε περιπτώσεις αμφίβολες, σύνθετες ή υψηλού αντίκτυπου.

Η Skroutz, επιδεικνύοντας αίσθημα ευθύνης, επενδύει διαρκώς στην ανάπτυξη και βελτίωση εργαλείων αυτοματοποιημένης εποπτείας περιεχομένου, με γνώμονα τη μέγιστη δυνατή προστασία των χρηστών της από τυχόν παράνομο περιεχόμενο και την ενίσχυση της ασφάλειας των συναλλαγών μέσω της Πλατφόρμας. Παράλληλα, παρακολουθεί και αξιολογεί σε τακτική βάση την αποτελεσματικότητα των εν λόγω εργαλείων, ώστε να διασφαλίζεται η συνεχής βελτιστοποίησή τους και η προσαρμογή τους σε νέες μορφές παραβατικότητας που ενδέχεται να εμφανίζονται στην Πλατφόρμα.

Επιπροσθέτως, η συγκέντρωση και αξιολόγηση νέων πληροφοριών σχετικά με τις επιμέρους κατηγορίες παράνομου περιεχομένου που εντοπίζονται στην Πλατφόρμα — ιδίως όπως αυτές προκύπτουν από εντολές ανάληψης δράσης αρμόδιων αρχών και από ειδοποιήσεις εικαζόμενου παράνομου περιεχομένου που λαμβάνει η Skroutz — συμβάλλει περαιτέρω στη βελτίωση των εσωτερικών εργαλείων, καθώς και στην τακτική επικαιροποίηση των υφιστάμενων μηχανισμών εποπτείας και ελέγχου."
Μόνο για παρόχους πολύ μεγάλων επιγραμμικών πλατφορμών,Skroutz,ΕΕΕΕ-ΜΜ-ΗΗ/ΕΕΕΕ-ΜΜ-ΗΗ,Υψηλού επιπέδου περιγραφή της δομής διακυβέρνησης του ελέγχου περιεχομένου,Ελεύθερο κείμενο
Μόνο για παρόχους πολύ μεγάλων επιγραμμικών πλατφορμών,Skroutz,ΕΕΕΕ-ΜΜ-ΗΗ/ΕΕΕΕ-ΜΜ-ΗΗ,Επαγγελματικά προσόντα των ανθρώπινων πόρων που προορίζονται ειδικά για τον έλεγχο περιεχομένου,Ελεύθερο κείμενο
Μόνο για παρόχους πολύ μεγάλων επιγραμμικών πλατφορμών,Skroutz,ΕΕΕΕ-ΜΜ-ΗΗ/ΕΕΕΕ-ΜΜ-ΗΗ,Κατάρτιση που παρέχεται στους ανθρώπινους πόρους που προορίζονται ειδικά για τον έλεγχο περιεχομένου,Ελεύθερο κείμενο
Μόνο για παρόχους πολύ μεγάλων επιγραμμικών πλατφορμών,Skroutz,ΕΕΕΕ-ΜΜ-ΗΗ/ΕΕΕΕ-ΜΜ-ΗΗ,Υποστήριξη που παρέχεται στους ανθρώπινους πόρους που προορίζονται ειδικά για τον έλεγχο περιεχομένου,Ελεύθερο κείμενο
