Applicability,Service,Reporting period,Indicator,Value
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"ABOUT YOU’s content moderation strategy is primarily proactive, focusing on the prevention of non-compliant content and products from being published by third-party sellers (“Merchants”).

Our most comprehensive self-initiated moderation occurs prior to publication: All product uploads undergo an obligatory, comprehensive pre-publication compliance check against established rules and guidelines (e.g., concerning product safety and intellectual property). Where non-compliance is detected, the product upload is systematically prevented.

Following publication, our self-initiated content review is complemented by a specialized expert team that conducts regular, proactive checks as well as reactive checks following respective notice for non-compliant content. In cases where non-compliance is identified through any of these checks, the corresponding products are deactivated or the relevant content is corrected."
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"The foundation of ABOUT YOU's self-initiated content moderation is the mandatory maintenance of clear and comprehensive stipulations and guidelines within our Marketplace Agreements. These agreements are binding for all Merchants and encompass, inter alia, provisions concerning product safety, product features, and the protection of intellectual property rights. The operational process primarily centers on a content review and approval framework preceding any content publication. This framework incorporates the pre-publication compliance check during the product mapping, which constitutes the obligatory, comprehensive verification conducted against the aforementioned stipulations. Content is exclusively permitted for direct publication upon successful review, thereby confirming adherence (compliance) to all Marketplace rules and guidelines. Should non-compliance be established at this stage, the Merchant is duly notified via a corresponding error message, and the upload is proactively prevented.

Subsequent to publication, two distinct mechanisms ensure continuous compliance adherence. Firstly, a specialized expert team conducts proactive  checks, which are regular, self-initiated controls of live content via shop screenings (e.g., for erroneous product images or attributes). Secondly, our post-publication moderation also incorporates reactive reviews, based on individual notices received e.g. from customers, other suppliers, or internal stakeholders. In the event that non-compliance is identified through these post-publication checks, the corresponding products are deactivated and an error message is transmitted to the Merchant for the purpose of initiating the requisite content correction or the product data will be proactively corrected, if applicable.

The content subject to this third-party moderation primarily comprises product information and materials supplied by our Merchants (e.g., product attributes, material descriptions, and images)."
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,Qualitative description of the automated means,"ABOUT YOU currently does not rely on automated means for the purpose of checking third-party content (such as product information, attributes, or images) and respective content moderation.

Instead, our content moderation framework is predominantly characterized by manual and expert-based compliance checks, both prior to and following content publication."
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,a.a.o.
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,Specification of the precise purposes to apply automated means,a.a.o.
All,ABOUT YOU Marketplace,2025-12-04/2025-12-31,Safeguards applied to the use of automated means,a.a.o.
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation,Free text
