Applicability,Service,Reporting period,Indicator,Value
All,Shopify,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"As an infrastructure provider, Shopify's core services function primarily as a hosting environment for independent merchants. Consequently, Shopify's own initiative content moderation is targeted at specific, high-severity harm categories and to fulfill payment partner requirements. 

For example, Shopify employs automated detection technologies provided by industry standard third parties to scan for and identify known Child Sexual Abuse Material (CSAM). This process involves hash-matching against established databases to flag illicit content. When such content is detected on websites hosted by Shopify it is reviewed by a human analyst. Confirmed CSAM is removed and reports are filed with law enforcement in accordance with applicable law. If a user is responsible for uploading CSAM their account will be terminated. 

Shopify also uses industry standard third party monitoring for merchants that use certain financial products. That monitoring involves a third party scanning public content for products that violate the terms and conditions of Shopify's third party payment providers. When potentially violative content is detected the content is reviewed by a human analyst and may be removed, and/or the merchant may lose access to the third party payment service."
All,Shopify,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"Shopify's hosting service functions as infrastructure on which independent merchants build, manage, and operate their own storefronts. Content and presentation on each storefront is controlled by the individual merchant. Shopify accordingly does not possess overall metrics from which an exposure measure for illegal or incompatible content could be derived. 

Shopify's CSAM detection integrates industry-standard perceptual hash-matching technology. This system scans merchant-uploaded media assets against recognized databases of known violative content. In addition to hash-matching, the system utilizes machine learning classifiers designed to identify potentially previously unknown violative content. Matches trigger an immediate internal alert for priority review. Confirmed CSAM is removed and reported to law enforcement in accordance with applicable law.

Shopify's third-party monitoring service employs a database-driven detection engine that scans publicly accessible merchant content against a global registry of known violative products, ingredients, and keywords. Content flagged by this automated system is reviewed by a human analyst to verify violations of Shopify’s policies before any action is taken."
All,Shopify,2025-01-01/2025-12-31,Qualitative description of the automated means,"For the detection of CSAM, Shopify employs perceptual hash-matching technology. These systems analyze content uploaded to Shopify-hosted servers and compare relevant characteristics against reference datasets compiled and validated by child protection organizations and other trusted sources. Content that matches images in those datasets is immediately queued for human review. The primary parameter governing this system is the hash-matching sensitivity threshold, which is calibrated to minimize false negatives while maintaining a manageable volume for human review.

Shopify also deploys machine learning classifiers to identify potentially previously unknown CSAM. These classifiers analyze visual characteristics of uploaded content and assign a confidence score. Content exceeding the applicable confidence threshold is queued for human review.

Shopify's third-party monitoring service employs a database-driven detection engine that scans publicly accessible merchant content against a global registry of known violative products, ingredients, and keywords. Content flagged by this automated system is reviewed by a human analyst to verify violations of Shopify’s policies before any action is taken."
All,Shopify,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Shopify's automated content moderation systems do not independently remove content. All automated detections are subject to human review prior to action.

For CSAM detection, perceptual hash-matching compares content against reference datasets independently verified by child protection organizations and other trusted sources. This technology produces a high degree of detection accuracy for known violative content. Machine learning classifiers for previously unknown content are calibrated to a confidence threshold that prioritizes human review of flagged content. The confirmation rate of automated detections through human review serves as the primary indicator of detection accuracy.


Shopify's third-party monitoring service flags content for human expert review. The rate at which flagged content is confirmed as violative through that review serves as the primary accuracy indicator for the automated detection engine."
All,Shopify,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,"The purpose of automated detection targeting CSAM is to enable Shopify to fulfill its legal obligations to prevent the platform from being used for the distribution of child sexual abuse material.

The purpose of third-party monitoring is to identify merchant content that violates the terms and conditions of Shopify's payment processing partners, in fulfillment of Shopify's contractual obligations to those partners."
All,Shopify,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,"Shopify applies structural and human safeguards to the use of automated means. Automated means are used to surface content for human review. Reviewers determine whether flagged content is in fact violative before action is taken. Merchants may appeal Shopify's content moderation decisions, providing an additional layer of protection against incorrect outcomes.

For teams tasked with reviewing high-severity content surfaced by automated means, Shopify implements specialized workflow tooling designed to minimize psychological impact. These systems incorporate health-focused viewing modes (such as greyscale filtering and blurring) to reduce exposure to traumatic content during the review process. All moderation personnel have access to a robust employee assistance program, which provides confidential, professional psychological support, including access to licensed therapists and 24/7 crisis counseling services.
Personnel responsible for content moderation oversight include lawyers, content subject matter specialists, and experts in operations at scale. Assistance is provided through internal and external consultation, giving personnel access to the deep subject matter expertise required to ensure consistency in enforcement decisions."
Only for VLOPs,,,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,,Support given to human resources dedicated to content moderation,Free text
Only for VLOPs,,,Methodology used to compute the number of human resources dedicated to content moderation,Free text
