Applicability,Service,Reporting period,Indicator,Value
All,,2025-01-01/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"Before content is published on the platform, Hostelworld utilizes automated filtering technology designed to intercept potentially harmful material.
Keyword Filtering: Our systems utilize a comprehensive database of prohibited keywords and phrases.
Objective: These filters are specifically configured to restrict the upload of content that is identified as illegal or in breach of the Hostelworld Terms and Conditions.
Effect: Content flagged by these automated tools is prevented from being posted, acting as a primary layer of defense against non-compliant material.
While automated tools provide the first line of defense, all nuanced content moderation is governed by human intervention.
The Hostelworld dedicated Customer Services Team holds the primary responsibility for moderation activities.
Notice and Action: Beyond proactive filtering, the team investigates 100% of the notices received.
Scope of Action: The team is authorized to take necessary measures under the DSA, including the removal of content, the suspension of accounts, or the restriction of visibility for content that violates legal or platform standards."
All,,2025-01-01/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"To ensure a trustworthy marketplace, our platform engages in targeted content moderation at our own initiative. This proactive oversight is limited specifically to the authenticity of property reviews to protect users from deceptive or fraudulent information.
Our internal moderation efforts are focused solely on identifying and removing reviews that do not represent a genuine consumer experience. This includes:
Fake Reviews: Content generated by bots, paid services, or the property owners themselves.
Conflict of Interest: Reviews posted by individuals with a financial stake in the property or a direct competitive relationship.
Incentivized Content: Reviews submitted in exchange for undisclosed compensation or prohibited discounts.  Flagged content is reviewed by our Customer Service team before any removal action is taken."
All,,2025-01-01/2025-12-31,Qualitative description of the automated means,"Hostelworld employs a Rules-Based Automated Filtering System designed to prevent the publication of prohibited content at the point of entry. This system serves as a first-line preventative measure to ensure platform integrity and user safety.
Functional Logic and Methodology
The automated means consist of a Keyword-Based Blocklist API integrated into the content submission interface.
Mechanism: The system scans user-generated text in real-time against a predefined library of prohibited terms, phrases, and patterns.
Execution: If a match is detected, the system triggers a hard-stop mechanism that prevents the content from being uploaded to the platform.
Scope: These keywords are primarily targeted at identifying:
Severe profanity or hate speech, and the sale of illegal products such as drugs.
Human Oversight and Error Rates
While the initial filter is automated, the underlying keyword library is manually curated and periodically reviewed by our Customer Service team to minimize ""false positives"" (the accidental blocking of legitimate speech)."
All,,2025-01-01/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,N/A
All,,2025-01-01/2025-12-31,Specification of the precise purposes to apply automated means,N/A
All,,2025-01-01/2025-12-31,Safeguards applied to the use of automated means,N/A
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation,Free text
