Applicability,Service,Reporting period,Indicator,Value
All,Glassdoor,2024-01-01/2024-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"Glassdoor moderates all user-generated content (UGC) at its own initiative. Two layers of automation technology screen the content of UGC for compliance with our Community Guidelines. If the UGC does not pass technological review, it is rejected and does not appear live on our services. If it passes technological review, it is made available on our services. If the technological review cannot determine if the UGC is compliant, the UGC is escalated for human review. Additionally, a human moderates UGC that is flagged for a secondary review by our users.

Prohibited types of content in UGC include: aggressive, offensive, or maliciously disrespectful material; targeted abuse; unwanted sexual content; insults; hateful speech; misinformation; trolling; privacy violations; impersonation; and proprietary or irrelevant information. Violent threats, incitement of violence, glorification of violence, slurs, trolling, and offensive stereotypes are also banned. Additionally, users cannot post photos that contain copyrighted content, nonpublic personal information, sexually explicit content, or workplace violations.

We also employ algorithms to detect abuse and gaming attempts. Submitting UGC requires email verification or the use of a verified third-party sign-on mechanism. In some cases, employment history verification may be requested. Enforcement actions include removing or restricting the visibility of UGC and temporarily or permanently suspending accounts from specific groups or the entire service.

Additionally, information is available in our Community Guidelines: https://help.glassdoor.com/s/article/Community-Guidelines?language=en_US"
All,Glassdoor,2024-01-01/2024-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"Glassdoor moderates all user-generated content (UGC) at its own initiative. Two layers of automation technology screen the content of UGC for compliance with our Community Guidelines. 

We apply proprietary screening technology that analyzes multiple attributes of the UGC. If the UGC does not pass this initial technological review, the UGC is rejected (i.e., not shown on our service). If the UGC passes the first step of technological review, it is sent to a second step of technological review. A machine-learning model assesses the UGC for compliance with our Community Guidelines, including forty different categories of illegal or incompatible UGC content. If the UGC passes this second step of technological review, it will appear on our services. If it fails, it is rejected and not shown on our services.  If the technological review cannot determine if the UGC is compliant, it is escalated for human review. Additionally, a human moderates certain UGC that is flagged for a secondary review by our users. Additionally, a human reviews certain previously-approved UGC that is flagged for a secondary review by our users.


During the reporting period, 68,781 UGC were removed by automation before ever appearing on our services, representing 3% of all UGC submitted and 36.5% of rejected UGC during the reporting period. An additional 118,820 UGC were removed after becoming visible on our services (5.2% of all UGC submitted during the reporting period, 5.7% of all UGC submitted during the reporting period and shown on the services, and 63.4% of rejected UGC submitted and rejected during the reporting period)."
All,Glassdoor,2024-01-01/2024-12-31,Qualitative description of the automated means,"Glassdoor moderates all user-generated content (UGC) at its own initiative. Two layers of automation technology screen the content of UGC for compliance with our Community Guidelines. 

We apply proprietary screening technology that analyzes multiple attributes of the UGC. If the UGC does not pass this initial technological review, the UGC is rejected (i.e., not shown on our service). If the UGC passes the first step of technological review, it is sent to a second step of technological review. A machine-learning model assesses the UGC for compliance with our Community Guidelines, including forty different categories of illegal or incompatible UGC content. If the UGC passes this second step of technological review, it will appear on our services. If it fails, it is rejected and not shown on our services.  If the technological review cannot determine if the UGC is compliant, it is escalated for human review. Additionally, a human moderates certain UGC that is flagged for a secondary review by our users. Additionally, a human reviews certain previously-approved UGC that is flagged for a secondary review by our users."
All,Glassdoor,2024-01-01/2024-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Glassdoor calculated accuracy based on the sum of true positives and true negatives divided by total automated decisions. True positives represent the number of rejections of user-generated content (UGC) that were not later overturned by a human. True negatives represent the number of UGC approvals, where the approval was not later reversed and rejected based on human review.

Glassdoor calculated precision based on the sum of true positives divided by the sum of true positives plus false positives. False positives represent the number of UGC rejected by automation that were subsequently approved by a human.

Glassdoor calculated recall based on the sum of true positives divided by the sum of true positives and false negatives. False negatives represent the number of UGC that were not rejected by automation but were subsequently rejected by a human."
All,Glassdoor,2024-01-01/2024-12-31,Specification of the precise purposes to apply automated means,"Glassdoor’s automated moderation is designed to detect and prevent the posting of user-generated content that violates our Community Guidelines (https://help.glassdoor.com/s/article/Community-Guidelines?language=en_US). Our Community Guidelines prohibit the following types of illegal, dangerous, and undesirable content in UGC including: aggressive, offensive, or maliciously disrespectful material; targeted abuse; unwanted sexual content; insults; hateful speech; misinformation; trolling; privacy violations; impersonation; and proprietary or irrelevant information. Violent threats, incitement of violence, glorification of violence, slurs, and offensive stereotypes are also banned. Additionally, users cannot post photos that contain copyrighted content, nonpublic personal information, sexually explicit content, or workplace violations.

We also employs algorithms to detect abuse and gaming attempts. Email verification or social media accounts are required to submit UGC. Employment history verification may be requested in some cases. Enforcement actions include removing or restricting the visibility of UGC and suspending accounts temporarily or permanently."
All,Glassdoor,2024-01-01/2024-12-31,Safeguards applied to the use of automated means,"Human review and the ability of our users to flag content ensures that even if automation fails, there are additional opportunities for human review and remediation. 

Glassdoor allows all UGC to be flagged by our users for additional human review. Additionally, any user can contest a UGC-related decision and request that a human review their content for compliance with our Community Guidelines. Finally, we regularly review and adjust our automation to ensure it is meeting our requirements for ensuring compliance with our Community Guidelines."
Only for VLOPs,,2024-01-01/2024-12-31,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,2024-01-01/2024-12-31,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,2024-01-01/2024-12-31,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,2024-01-01/2024-12-31,Support given to human resources dedicated to content moderation,Free text
Only for VLOPs,,2024-01-01/2024-12-31,Methodology used to compute the number of human resources dedicated to content moderation,Free text
,,,,
All,Glassdoor,2024-01-01/2024-12-31,The measures taken to provide training and assistance to persons in charge of content moderation,"Glassdoor ensures that all individuals responsible for content moderation receive comprehensive training and ongoing support to perform their roles effectively and in alignment with regulatory requirements. Moderators undergo detailed onboarding that covers relevant legal obligations, platform policies, and situational guidance, supplemented by periodic updates addressing new risks and evolving standards. Instructional materials and playbooks are regularly updated to reflect changes in legislation and best practices. Our teams benefit from access to real-time guidance, escalation pathways."
