Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,20704,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,14707,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,20704,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,14707,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement.
Flickr is evaluating methods for developing per-system performance reporting for future periods."
All,Flickr,2025-01-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,,"Flickr uses multiple independent automated systems for content moderation (hash-matching for CSAM, rules-based risk scoring via a third-party provider for fraud and spam, and content classification tools for safety-level enforcement). These systems use different technical approaches, target different content categories, and cannot be meaningfully aggregated into a single accuracy, precision, or recall metric.

Hash-matching operates on a binary match/no-match basis with human review of all matches. The third-party risk-scoring system (Sift) uses proprietary models whose internal performance metrics are not available to Flickr at a reportable level of granularity. Content classification tools flag content for human review rather than taking autonomous action.

Flickr monitors automated system performance through human review of flagged content and its internal complaints mechanism. During the reporting period, complaints resulted in decision reversals, a significant portion of which related to automated account-level actions. This complaints data provides a proxy signal for false-positive rates across automated enforcement. Flickr is evaluating methods for developing per-system performance reporting for future periods."
