Applicability,Service,Reporting period,Indicator,Value
All,Google Play,2026-01-01/2026-06-30,Summary of the content moderation engaged in at the providers’ own initiative,"Across all products and services, we set clear policies for what is and is not acceptable on our platforms. These policies aim to ensure a safe and positive experience for our users and observe a high standard of quality and reliability for advertisers, publishers, and content creators alike. 

Content policies establish the rules of the road for what content can be created, uploaded, sent, shared, and monetised. These policies are used to guide content moderation and enforcement actions on our products. They also play an important role in maintaining a positive experience for everyone on our platforms no matter where they are in the world. 

User data and developer policies provide rules for how developers interact with our products and services. They also describe the privacy and security requirements for handling user data to include the full spectrum of developer actions, like requesting, obtaining, using, and sharing data. 

Monetised product guidelines are the policies and standards related to products Google earns revenue from and cover what can or cannot be monetised. These policies empower and protect users while promoting a thriving digital ecosystem that is safe and conducive to innovation and growth.

'Own initiative' content moderation 
Content moderation actions taken at Google's 'own initiative' are considered to be actions taken on content shown to or flagged by those in the EU because the content violates our policies, or where the content is illegal but action is not taken in response to an Article 9 order or Article 16 notice. These can encompass both proactive and reactive enforcement actions. Proactive enforcement takes place when potentially policy-violating content has been flagged internally, for example, via algorithms or contractors. Reactive enforcement takes place in response to external notifications, such as user policy flags or legal complaints.

Google services are wide-ranging and differ in their user bases, content hosted, services provided, and expectations for enforcement. To support information and content quality on our products and services, we take a wide range of enforcement actions to maintain a trusted experience for all. Enforcement actions, like policies, differ from service to service and are tailored to the purpose of each service, based on what is reasonable, proportionate, and effective, taking into consideration the appropriate approach to freedom of expression for each service. However, the types of restrictions applied may include: 

(i) restrictions of the visibility of content; 
(ii) restrictions of the ability to monetise content; 
(iii) restrictions of provision of some or all features of the service; and
(iv) Google-wide restrictions of an account where users can no longer log into any Google service, which may be imposed as a result of multiple legal or policy violations across one or more services. 

In some cases, restriction of monetisation, by itself, is not an applicable enforcement action for a service, however, a different enforcement action (e.g., restriction of provision of the service) may prevent features from being monetised.

Google considers 'measures' as actions taken on moderated videos, URLs, listings, accounts, and other content types, which are of a policy-violative nature or are delisted as a result of applicable law. Where feasible, the categories and sub-categories identified by the European Commission are used to group and report enforcement actions. However, some policies do not fully align with these sub-categories, and are thus reported using additional sub-categories (i.e. using the KEYWORD_OTHER option provided by the European Commission). For relevant services, we separately present metrics relating to advertisements impressed on those services (on the 6_own_initiative_Ads tab). While intermediary services are out-of-scope for Art 15(1)(b), actions taken on a legal basis in response to legal notices received about intermediary service content are reported under Art 15(1)(c) for completeness. Finally, metrics on actions taken that impact multiple Google services are included in the Multi-Services report. 

For more information, see:
- Google Transparency Center: https://transparency.google/our-policies/product-terms/

"
All,Google Play,2026-01-01/2026-06-30,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"There is a dedicated page on the Google Transparency Center to help users find ways to report harmful content on several of our services. Often the option to report will be found in the service itself or with its policies. Depending on the nature of the service and the potential policy violation, these user reports may be reviewed using automated tools, human review or a combination of both. 

To enforce our policies at scale, Google relies on a combination of automated and human tools to spot problematic content. While automated systems can quickly identify and take action against spam and some violative content, human judgement is needed for the many decisions that require a more nuanced determination. The context in which a piece of content is created or shared is an important factor in any assessment about its quality or its purpose. Google is attentive to educational, scientific, artistic, and documentary contexts, including journalistic intent, where the content might otherwise violate our policies. Google escalates particularly complex cases to specially-trained experts. Additionally, Google uses a corpus of human-reviewed and removed content to train machine learning technology to flag new content that may also violate product policies. Using machine learning technology trained by human decisions enables our enforcement systems to adapt and become more effective over time. More information about how Google services use automated tools, often supplemented with human review, for content moderation, along with the indicators of accuracy of any fully automated tools is included in the sections below. 

For more information, see:
- Google Transparency Center: https://transparency.google/intl/en_uk/tools-programs/reporting-and-appeals/

Service-specific details
End users on the service do not view a sizable proportion of illegal or incompatible content on the service in comparison to the overall volume of content on the service within the reporting period.

"
All,Google Play,2026-01-01/2026-06-30,Qualitative description of the automated means,"This section describes how Google uses automated tools, often supplemented with human review, for content moderation. 

Automated tools used to process Legal-related Content Removal Requests 
Automation plays a role in legal content moderation to help Google work at scale, and focus our efforts on actionable, authentic requests. There are a few ways that automation might be used while handling a removal request. The most common way is that Google uses automation to route a request to the right team. Google has subject matter experts in different types of content and languages, and using automation ensures the request is sent to the people best positioned to review it.

Once content removal requests are routed efficiently, Google also uses automation to manage the millions of URLs (web page addresses) that are sent to Google for review every day, and to complement and streamline human review. As an example, Google receives a significant number of Google Search removal requests for URLs that are not included in Google's search index, which is the vast and continuously updated pool of web page addresses from which all search results are drawn. We have automated systems that detect such URLs in removal requests, enabling our teams and processes to focus on content that does appear on our services and address complex matters requiring human review. 

Google also uses automation to process some legal notices. The vast majority of notices are copyright removal requests, largely from submitters with a well-established track record of submitting valid requests, allowing Google to be relatively confident in automating this processing. Certain requests to remove allegedly defamatory Local Reviews on Google Maps are also automatically processed, in addition to certain requests concerning data protection on Google Search. 

Automated tools used to combat Child Sexual Abuse Material (CSAM)
Google takes its responsibility to fight child sexual abuse and exploitation online very seriously. We do this by combatting CSAM across Google's services and by detecting instances of abuse and enforcing robust policies. We also partner with non-governmental organisations (NGOs) and others in industry coalitions to share proprietary technology and drive the industry forward. 

Built-in protections help prevent Google services from showing abusive content and deter bad actors. To detect and report CSAM, we may use a combination of cutting-edge technology, including machine learning classifiers (to identify unknown CSAM) and hash-matching technology, as well as trained specialist teams. Hash-matching technology creates a 'hash', or unique digital fingerprint, for an image or a video so it can be compared with hashes of known CSAM. When Google finds CSAM, our services remove it, report it to the National Center for Missing and Exploited Children (NCMEC), and take action, which may include disabling the account. 

Google scales its impact by collaborating with NCMEC and partnering with NGOs and industry coalitions to help grow and contribute to a joint understanding of the evolving nature of child sexual abuse and exploitation. One of the ways Google contributes is by creating and sharing free tools to help other organisations prioritise potential CSAM images for human review. For example, Google's Child Safety Toolkit consists of two APIs. The first is Child Sexual Abuse Imagery (CSAI) Match, an API developed by YouTube that partners can use to automatically detect known videos of CSAM so they can flag for review, confirm, report, and act on it. The second is Google's Content Safety API that helps partners classify and prioritise novel potentially abusive images and videos for review. Detection of never-before-seen CSAM helps the child safety ecosystem by identifying child victims in need of safeguarding and contributing to the list of known digital fingerprints to grow our abilities to detect known CSAM. 

Google takes action not just on illegal CSAM, but also wider content that promotes the sexual abuse and exploitation of children and can put children at risk.

For more information, see:
- How image hashing technology helps NCMEC: https://safety.google/stories/hash-matching-to-help-ncmec/
- Tools to fight CSAM: https://protectingchildren.google/#tools-to-fight-csam

Automated tools that affect advertisements
Google uses a combination of automated and human evaluation to detect and remove ads which violate our policies and are harmful to users and the overall ecosystem. Advertisements can also appear across multiple services. To keep ads safe and appropriate for everyone, ads are reviewed to make sure they comply with Google Ads policies and Google Shopping Ads policies. 

When reviewing ad content or advertiser accounts to determine whether they violate our policies, Google takes various information into consideration, including the content of the creative (e.g., ad text, keywords, and any images and video) and the associated ad destination. Google also considers account information (e.g., past history of policy violations) and other information provided through reporting mechanisms (where applicable) in our investigation. 

For more information, see:
- Google Ads policies: https://support.google.com/adspolicy/answer/6008942
- Google Shopping Ads policies: https://support.google.com/merchants/answer/6149970?hl=en

Service-specific automated tools
Google Play uses a combination of human and automated evaluation to review apps and app content to detect and assess content which violates our policies and is harmful to users and the overall Google Play ecosystem. User reviews of Google Play Apps also go through a combination of manual and automated review processes to determine if the user review violates the user comment posting policies (e.g., contains hate speech, sexually explicit content, spam, etc.). In addition, Google Play uses a combination of human and automated evaluation to take action on developers that pose a risk to our platform's safety. Using automated models helps us detect more violations and evaluate potential issues faster, which helps us better protect our users and developers. 

"
All,Google Play,2026-01-01/2026-06-30,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Where relevant and feasible, indicators of accuracy for automated tools used to process legal-related content removal requests, CSAM and advertisements are provided in relevant service-specific reports. While we report fully automated tools primarily on a language-agnostic basis, where applicable and feasible for this reporting period, the indicators of accuracy are also broken down by language. 

Unless otherwise stated, metrics are calculated using standard statistics definitions provided below:
- Accuracy, defined as the proportion of all decisions that were correctly made by the automated system = (TP + TN) / (TP + TN + FP + FN)
- Precision, defined as the proportion of all identified positive cases that were correctly classified = TP / (TP + FP)
- Recall, defined as the proportion of actual positive cases that were correctly classified = TP / (TP + FN) 
Where TP = True Positives; TN = True Negatives; FP = False Positives; FN = False Negatives.

Automated tools used to process Legal-related Content Removal Requests 
For relevant services, accuracy, precision and recall are provided for fully automated content moderation tools used to process legal-related content removal requests. These metrics are computed based on a quality assurance audit of global reviews performed by the automated systems. 

As previously mentioned, intermediary services are out-of scope for Art 15(1)b and actions taken on a legal basis in response to legal notices received about intermediary service content are reported under Art 15(1)c for completeness. Therefore, accuracy indicators of fully automated content moderation tools used to process legal-related content removal requests on intermediary services are reported under 'own initiative' rather than 'NAM total' on the 8_automated_means tab.

In the VLOP reports, accuracy, precision and recall metrics are provided for EU Member State languages where sufficient data exist to calculate meaningful metrics.

Automated tools used to combat Child Sexual Abuse Materials (CSAM)
For relevant services, precision is provided for fully automated content moderation tools used to restrict CSAM.

False Positives reflect the number of automated actions that were later found to be incorrect and reversed following appeals from account owners in the EU while True Positives reflect the number of automated actions that were reviewed and upheld after appeal and those that were not subject to an appeal.

Accuracy and recall metrics are not being reported for automated tools used to restrict CSAM due to the technical infeasibility of identifying False Negatives (i.e. where violative content exists but it is not detected by automated means). Identifying instances where an automated system failed to detect a violation would require exhaustive manual follow-up of millions of cases which were previously deemed to be compliant. Language breakdown is not applicable as moderated content is image-based.

Automated tools that affect advertisements
Within the Ads (hosting service provider) report, accuracy, precision and recall are reported across all automated content moderation decisions. For relevant services, Ads is reporting accuracy, precision and recall across all automated content moderation decisions on that particular service (on the 8_automated_means_Ads tab). 

False Positives reflect the number of automated actions that were later found to be incorrect and reversed following appeals from advertisers in the EU while True Positives reflect the number of automated actions that were reviewed and upheld after appeal and those that were not subject to an appeal. False Negatives reflect instances where an automated system did not detect a violation, but action was subsequently taken following reports from EU users while True Negatives reflect instances where content was reviewed following EU user reports and found to be non-violative, in addition to instances where content was approved by the automated system and not subsequently reviewed. To determine if the automated system was right or wrong, Ads checks if automated decisions were overturned by human reviewers within 90 days following the ad's creation. 
 
In the VLOP reports, accuracy, precision and recall metrics are provided for each EU Member State language where sufficient data exist to calculate meaningful metrics.

Service-specific automated tools
Google Play is reporting precision for the automated systems used to moderate app content; and accuracy, precision and recall for the automated system that moderates user reviews. These metrics are calculated using standard statistics definitions provided above. 

False Positives, used in the precision calculation for the automated system used to moderate content, reflect the number of automated actions that were later found to be incorrect and reversed following appeals from app developers while True Positives reflect the number of automated actions that were reviewed and upheld after appeal and those that were not subject to an appeal. All other metrics are computed based on human evaluation of a random sample of reviews performed by the automated systems. These accuracy indicators are based on global enforcement actions and human evaluation is assumed to be the ground truth to ascertain the accuracy of the decisions made by the automated systems.

Play is unable to report accuracy or recall for the automated systems used to moderate content due to the technical infeasibility of calculating False Negatives (i.e. where violative content exists but it is not detected by automated means). Identifying instances where an automated system failed to detect a violation requires exhaustive and complex manual review of an immense volume of apps on Google Play, which were previously deemed to be compliant.

Google Play is unable to provide a language breakdown for these metrics because language is a factor in only a tiny fraction of its decisions. Consequently, any language-based metrics would lack the requisite statistical significance for reliable reporting.

"
All,Google Play,2026-01-01/2026-06-30,Specification of the precise purposes to apply automated means,"See response to 'Qualitative description of the automated means'. 

"
All,Google Play,2026-01-01/2026-06-30,Safeguards applied to the use of automated means,"To enforce our policies at scale, Google relies on a combination of automated and human tools to spot problematic content. While automated systems can quickly identify and take action against spam and some violative content, human judgement is needed for the many decisions that require a more nuanced determination. The context in which a piece of content is created or shared is an important factor in any assessment about its quality or its purpose. Google is attentive to educational, scientific, artistic, and documentary contexts, including journalistic intent, where the content might otherwise violate our policies. Google escalates particularly complex cases to specially-trained experts. 

Additionally, Google uses a corpus of human-reviewed and removed content to train machine learning technology to flag new content that may also violate product policies. Using machine learning technology trained by human decisions enables our enforcement systems to adapt and become more effective over time. 

Automated tools used to process Legal-related Content Removal Requests 
Users can appeal content moderation decisions made by automated systems to process legal-related content removal requests. These appeals are then subject to human review. 

Automated tools used to combat Child Sexual Abuse Materials (CSAM)
Users can appeal content moderation decisions made by automated systems to take action on CSAM. These appeals are then subject to human review. Sampling is also used to constantly monitor the quality of automated enforcements. 

Automated tools that affect advertisements
Our enforcement technologies may use automated evaluation, modelled on human reviewers' decisions, to help protect our users and keep our ad platforms safe. The policy-violating content is either removed by automated means or it is flagged for further review by trained operators and analysts who conduct content evaluations that might be difficult for algorithms to perform alone, for example, because an understanding of the context of the ad is required. The results of these manual reviews are then used to help build training data to further improve our machine learning models. Ads also offers users and Priority Flaggers an option to report violative ads, while advertisers have the option to appeal automated ad restrictions. All user reports and appeals are subject to human review.

Service-specific automated tools
Policy-violating content that is detected by Google Play's automated systems is either removed by these automated models or by trained operators and analysts, after manual review. The results of these manual reviews are then used to help build training data to further improve our machine learning models. Developers and users can also appeal automated enforcement actions on Google Play, which are then subject to human review. Additionally, several quality check processes are followed such as pre-launch precision tests and post-launch monitoring. 

"
Only for VLOPs,Google Play,2026-01-01/2026-06-30,High-level description of the content moderation governance structure,"Good corporate governance is critical to our approach to content moderation. The foundation for managing this is a clear internal structure, together with accompanying processes and tools to manage the needs of Google's diverse products and services with consistency and appropriate flexibility.

Our governance structures include:
- Board governance: The Board of Directors of Google Ireland Limited is responsible for overseeing the management of systemic risks. Risk management and mitigation issues are regularly reported to and considered by the Board. At least once a year, the Board approves the strategies and policies for taking up, managing, monitoring and mitigating the risks identified. 

- Executive oversight: Senior management has direct oversight of content risks, ensures appropriate resourcing for dedicated teams, reviews significant incidents or escalations, and reports these items to the Board as necessary.

- Google Trust and Safety: We pioneered the now industry-wide practice of investing in Trust and Safety specialists who are trained to analyse bad actors, abusive practices, content issues, and the effectiveness of existing policies. Today, our Trust and Safety teams consist of experts, specialists, and engineers working to keep people safe online by using the latest technology (including AI and LLMs) to enforce our policies and moderate content. These teams partner with external experts and teams across Google to carry out our mission to keep people safe online and protect our services and products from abuse.

These governance structures work to identify and address the risk to users across the product lifecycle: from product development (where we embed user safety into the design of our products) to product launch, followed by ongoing monitoring and evaluation. This is enabled by internal policies, guidance, regular training, clear escalation paths, and processes designed to monitor emerging trends and address new harm vectors before they can become larger issues).

"
Only for VLOPs,Google Play,2026-01-01/2026-06-30,Qualifications of the human resources dedicated to content moderation,"Human reviewers or content moderators play a key role in content moderation at Google. Technology has become very helpful in identifying some kinds of problematic content (e.g., finding objects and patterns quickly and at scale in images, video, and audio), while humans are able to apply a more nuanced approach to assessing content. 

To safeguard against content actions that could potentially contribute to or exacerbate adverse impacts due to allowing or removing content, Google utilises international human rights standards to guide policy and enforcement decision-making, considering how content could adversely impact the rights of an individual, community, or society as a whole, or further the understanding of social, political, cultural, civic, and economic affairs. As an example of public interest-informed content moderation, Google carves out exceptions to enforcement guidelines for material that is Educational, Documentary, Scientific, and/or Artistic (EDSA). Content that falls under those exceptions are crucial to understanding the world and to chronicling history, whether it is documenting wars and revolutions or artistic expression that may include nudity. Consequently, Google takes great care in helping reviewers understand the EDSA exceptions when reviewing flagged content. 

Google strives to create workplaces and economic opportunities that work for employees, as well as vendors, temporary staff, and independent contractors. While Google does not employ all of the individuals who contribute to content moderation, Google is committed to ensuring that work on Google products is conducted in environments that treat all workers with respect and dignity, ensure safe working conditions, and conduct responsible, ethical operations. For that reason, Google seeks out suppliers that embrace its values, commitment to human rights, and that support a safe working environment. Suppliers must operate in accordance with our Wellness Standards for Sensitive Content Moderation and Supplier Code of Conduct, and comply with all applicable labour protection laws, including those related to privacy, safety, health, and wages. Google also provides a framework of wellness standards that promote healthy working conditions and resources for provisioned extended workforce members and Google employees performing sensitive content moderation. Adherence to our Wellness standards is verified through periodic audits. These guidelines encompass the entire worker lifecycle, including pre-hire and onboarding — where specific requirements apply to job descriptions, interviews, and training for both managers and staff — as well as ongoing engagement and support during and after exit. Ongoing support features dedicated wellness teams, counseling, employee assistance programs, peer support groups, and wellness breaks. Additionally, suppliers must provide physical wellness spaces, resources, and opt-out options, with wellness support in the form of counseling remaining  accessible to content moderators for at least six (6) months after exit. 

Qualifications and linguistic expertise
Qualifications for Google employees who work on sensitive content may include role related knowledge in the content matter, professional experience in content moderation or sensitive workflows, linguistic expertise, and computer proficiency. The linguistic expertise required varies depending on the specific workflow of a product or service, the type of content, and languages that content is available in. Some products or services require native proficiency in global supported languages, others may use translation tools, and some videos or images do not require any language proficiency to review. Some Google employees who work on sensitive content are also subject matter specialists skilled in specialty areas, such as child sexual abuse material or violent extremism. 

For more information, please see:
- Google's Supplier Responsibility Program: https://sustainability.google/progress/supplier-responsibility/
- Google's values: https://about.google/company-info/commitments/
- Google's commitment to human rights: https://about.google/company-info/human-rights/
- Google Supplier Code of Conduct: https://about.google/company-info/supplier-code-of-conduct/

"
Only for VLOPs,Google Play,2026-01-01/2026-06-30,Training given to human resources dedicated to content moderation,"Google employees who work on sensitive content teams are offered subject matter specific training on a variety of topics. Employees working in sensitive content are required to complete a training on the Psychological Impact of Sensitive Content Review at the point of onboarding, and managers are required to complete an additional training on Supporting Teams who Work with Sensitive Content. Additional optional training opportunities include those on self-compassion, emotional agility, and subject matter specific training to provide a deeper dive into the unique challenges faced by each team. The training is generally conducted via e-learning with opportunities for live facilitated training. 

"
Only for VLOPs,Google Play,2026-01-01/2026-06-30,Support given to human resources dedicated to content moderation ,"Wellbeing support
Google is committed to supporting the wellness of its employees that work with sensitive content through comprehensive programs and resources. Google strives for safe and healthy working conditions for all employees exposed to sensitive content and is committed to ensuring they have the highest standard of support. Google has invested significantly in these teams by:

- Providing access to on- and off-site counselling for workers who need it, dedicated wellness spaces, on-site specialist counsellor support in certain Google offices, and 24/7 phone support;
- Limiting content exposure for those focusing on sensitive content by providing guidance on daily review time; 
- Providing materials for individuals to form peer-led peer support groups and optional listening sessions if teams experience escalations or specific events that are particularly impactful;
- Providing physical and mental wellbeing activities (e.g., gym space, workout classes, mindfulness app access, educational sessions on a variety of topics); and
- Providing post-exit mental health support, including counselling services, for at least six months after an employee who was regularly exposed to sensitive content and situations as part of their core role exits their position at Google. 

Consistent with Google's Wellness Standards, members of Google's extended workforce working with sensitive content are offered counseling, peer support groups, wellness breaks, mental health and wellbeing resource support directly by their employer both during their work on sensitive content moderation and wellness support in the form of counseling remaining accessible to content moderators for at least six (6) months after exit. 

Research and technological innovation
In addition to gathering feedback directly from workers and soliciting professional input and advice, Google is committed to driving industry-leading research and technological innovation in the field of content moderation. For instance, Google published a research paper in 2019 indicating that 'grayscale transformations' (i.e., where an image was converted to black and white) reduced the emotional impact of reviewing violent and extremist content. Based on these findings, Google built grayscaling into review tools, giving each reviewer an option to use this feature when performing reviews, based on their own preference. 

For more information on Google's research paper, see: 
https://research.google/pubs/testing-stylistic-interventions-to-reduce-emotional-impact-in-content-moderation-workers/

"
