Applicability,Service,Reporting period,Indicator,Value
All,Booking.com,2026-01-01/2026-06-30,Summary of the content moderation engaged in at the providers’ own initiative,"Booking.com’s long-held values as well as our guidelines and terms and conditions for all users of our platform - travellers and supply partners - are designed to foster safe and welcoming travel experiences for all. To maintain that environment and ensure the safety of our travellers and supply partners, we take action upon content that violates the law, our Content Guidelines or Terms and Conditions. We have a fast turnaround on our content moderation, using both moderation by automated Machine Learning (ML) models and manual review."
All,Booking.com,2026-01-01/2026-06-30,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"Our core ML algorithms swiftly review various types of content, such as guest reviews, partner responses, photos and more. Most content is approved within seconds and goes live on Booking.com. Anything not approved by our core ML algorithms is sent to our moderators for further review when potential guideline violations are detected. Approved content is accessible on our platform and apps, while policy-violating content won't be published. Our decision can be appealed or the content can be resubmitted."
All,Booking.com,2026-01-01/2026-06-30,Qualitative description of the automated means,The core ML models Booking.com applies are content classifier models which are tuned to identify context. The ancillary ML models use numerous different data points and fraud indicators to detect inauthentic listings and inauthentic reviews.
All,Booking.com,2026-01-01/2026-06-30,Qualitative description of indicators of accuracy and possible rate of error of automated means,"Accuracy:
The accuracy of the moderation model reflects the overall proportion of correct predictions — both correctly identified policy violations and correctly identified safe content — across the total set of evaluated inputs.  Accuracy is calculated based on a manually labeled test dataset consisting of diverse samples of user-generated content, balanced across multiple moderation policies.  
Accuracy = (True Positives + True Negatives) / Total Samples. This is computed using held-out test data not seen during model training, with data labeled by human annotators for quality.  

Precision:
Precision indicates how many of the items flagged as violating were actually correct, helping reduce false positives. It measures the reliability of automated content removals. Precision is measured on content automatically flagged for removal and compared against gold-standard annotations from human moderators.
Precision = True Positives / (True Positives + False Positives). A high precision score reflects that the model is making confident, correct removals, minimizing over-enforcement.

Recall
Recall captures the model’s ability to find all relevant violations — in other words, how much harmful content it successfully detects. Measured on datasets that include a known number of true violations, including edge cases and borderline content examples.
Recall = True Positives / (True Positives + False Negatives). This tells us how effective the model is at capturing all harmful content that should be removed."
All,Booking.com,2026-01-01/2026-06-30,Specification of the precise purposes to apply automated means,"The core ML models are designed to detect both illegal content and content that violates Booking’s content policies. Illegal and violating content identified by the core ML models is sent to our content moderators for human review. Content moderators will make the final decision. The ancillary ML models are designed and used to detect inauthentic listings and inauthentic reviews at scale. In Q2 2026, we enabled auto-rejection for images violating three specific policies: confidential data, adult nudity, and promotional content. Additionally, we now automatically reject textless reviews that are submitted from reservations marked as a no-show."
All,Booking.com,2026-01-01/2026-06-30,Safeguards applied to the use of automated means,We perform constant random sampling of the automatically approved items and send them to moderators to ensure that the quality of ML automated content approvals is within the acceptable range.
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,High-level description of the content moderation governance structure,"We employ content moderators (both in-house and vendor-based), managed by team leads, to review text and photo content from our customers, partners and travelers. Most uploaded content undergoes pre-moderation, using a combination of machine learning and human moderation before the content is made public. A portion of the content available on our platform undergoes post-moderation, the content is moderated after it’s been published.  Decisions are made based on content policies and guidelines, with quality checks conducted by our Policies Associates, managed by the Policy Lead, to ensure fair and consistent enforcement. Rejected content is removed, providing the content owner a clear reason which policy violation led to the removal and an option for the user appeal. All content rejections are reported to the European Commission Database. We have also established escalation paths for stakeholders such as Customer Service and Partner Services, handled by our in-house content moderators and associates."
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Qualifications of the human resources dedicated to content moderation,"1 Senior Manager, 1 Policy Manager, 1 Senior Lead, 1 Vendor Management and Operations Senior Lead, 2 Leads, 12 Associates, 117 Vendor Content Moderators. All vendor moderators go through a 3 week moderation onboarding process and need to reach a specific quality score to perform moderation."
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Training given to human resources dedicated to content moderation,"When new policies are launched or a new content moderator is onboarded, training decks and videos are provided to introduce the new content policies. Content moderators spend on average approximately 6 hours monthly receiving training, reviewing content guidelines and policy clarications, reviewing their errors and asking questions. Frequently asked questions are compiled, and grey areas are claried on a regular basis."
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Support given to human resources dedicated to content moderation ,"Internal employees can reach out to the employee assistance program that provides counselling services, practical information and digital content to support employees’ mental, physical, social and nancial well-being. All moderators have followed a course about dealing with distressing content, designed to increase awareness, learn about prevention of potential issues and to understand what support is available. Our external partner contracted for moderation has a consistent approach towards employee safety utilising SGS audits and participating with renown partners."
Only for VLOPs,Booking.com,2026-01-01/2026-06-30,Methodology used to compute the number of human resources dedicated to content moderation  ,"We employ bilingual content moderators based on content volume, prioritizing languages with higher moderation needs. While we assess language requirements based on volume, we ensure all our content moderators (whether in-house or vendor-based) are proficient in English and capable of moderating other languages using translation tools.
"
