Applicabilité,Service,Période couverte par le rapport,Indicateur,Valeur
Tous,JV,2025-01-01/2025-12-31,Récapitulatif des activités de modération des contenus auxquelles se sont livrés les fournisseurs de leur propre initiative,"La plupart de nos actions de modération sont réalisées à la suite de signalements envoyés par les utilisateurs. Notre priorité est de traiter ces notifications dans les meilleurs délais.
La modération effectuée de notre propre initiative intervient lorsque nous repérons, au fil de notre navigation sur le site, des contenus qui ne respectent pas nos conditions d’utilisation ou la législation en vigueur.
Il est à noter qu'environ la moitié des suppressions de messages que nous effectuons de notre propre initiative concerne des propos insultants, notamment des échanges d’insultes entre utilisateurs."
Tous,JV,2025-01-01/2025-12-31,Informations utiles et compréhensibles sur les activités de modération des contenus auxquelles se sont livrés les fournisseurs de leur propre initiative,"Que la modération soit effectuée avec ou sans signalement, les conséquences pour l'utilisateur sanctionné sont les mêmes : suppression du message et potentiellement suspension temporaire ou définitive de son compte. La sévérité de la sanction dépend de 2 éléments :
- catégorisation de la sanction (par exemple, un message négationniste est plus sévèrement sanctionné qu'un message d'insulte)
- sanctions précédentes déjà appliquée sur le compte. JV dispose d'un système pour identifier et sanctionner plus sévèremment les personnes qui cumulent déjà de multiples sanctions sur leur compte. En effet, chaque sanction fait gagner des points de ""karma"" sur un compte : plus un compte a de points, plus les sanctions prononcées seront sévères (durée de bannissement plus importante)."
Tous,JV,2025-01-01/2025-12-31,Description qualitative des moyens automatisés,"Les outils automatisés que nous utilisons ne font intervenir aucune forme d’intelligence artificielle.
Les rares mécanismes automatiques dont nous disposons reposent sur une liste noire de chaînes de caractères que nous ajoutons manuellement via une interface dédiée. Celle‑ci nous permet de bloquer des URL ou des domaines diffusant des contenus illégaux, comme des sites de streaming gratuit de matchs de football ou d’animés.
Aucun signalement utilisateur n'est traité de matière automatisée."
Tous,JV,2025-01-01/2025-12-31,Description qualitative des indicateurs de précision et du taux d’erreur possible des moyens automatisés,"Nos outils automatisés ne reposent sur aucune forme d’intelligence artificielle. Leur rôle se limite à supprimer les messages contenant des URL menant vers des contenus illégaux, comme des sites de streaming gratuit de matchs de football.
100% des messages incluant une URL figurant dans cette liste, que nous mettons à jour manuellement, sont automatiquement supprimés sans exception."
Tous,JV,2025-01-01/2025-12-31,Indication des objectifs précis du recours à des moyens automatisés,"Nos outils automatisés poursuivent deux objectifs : empêcher la diffusion d’URL menant vers des contenus illégaux et limiter le spam. Par le passé, nous avons en effet été confrontés à des utilisateurs diffusant massivement des liens vers des sites pirates.
Le principal risque lié à cette suppression automatique est qu’une URL inscrite dans notre liste noire cesse un jour de renvoyer vers un site illégal et devienne à nouveau légitime. Dans ce cas, les utilisateurs ne pourraient plus publier de messages contenant ce lien pourtant redevenu acceptable.
La solution serait simplement de retirer cette URL de la blacklist afin d’en réautoriser la publication sur JV."
Tous,JV,2025-01-01/2025-12-31,Mesures de sauvegarde appliquées en cas de recours à des moyens automatisés,"JV dispose d’une procédure permettant de contester les décisions de modération. Ainsi, un utilisateur qui voit son contenu supprimé à la suite d’un signalement reçoit systématiquement un message privé qui l’informe de la suppression de son message et lui précise une adresse e-mail lui permettant de contester la décision.
Il est aussi à signaler qu'aucune suspension ou suppression de compte ne peut être prononcée par un système automatisé : 100% de ces décisions étant prises par un humain."
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Description générale de la structure de gouvernance des activités de modération des contenus,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Qualifications des ressources humaines chargées de la modération des contenus,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Formation dispensée aux ressources humaines chargées de la modération des contenus,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Accompagnement apporté aux ressources humaines chargées de la modération des contenus,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Méthodologie utilisée pour calculer le nombre de ressources humaines chargées de la modération des contenus,Texte libre
