Applicability,Service,Reporting period,Indicator,Value
All,Vestiaire Collective,2025-02-17/2025-12-31,Summary of the content moderation engaged in at the providers’ own initiative,"Vestiaire Collective’s curation and fraud specialists constantly monitor the platform to ensure the product listings and users comply with our platform rules. 

Our team uses a combination of automated systems and human review to monitor and remove policy-violating listings and users (for example because of counterfeit, prohibited items based on our Calatogue rules, or non-compliant items) at both pre publication and post publication stage. 

Where necessary, our teams take enforcement actions to block or restrict use of the platform (content moderation activities), namely:

• rejecting or removing a product listing (based on our Catalogue rules and Listing guidelines);
• closing a user account (because of fraudulent activity, violation of our Catalogue rules); and/or
• banning (permanently or temporarily) a user from Buyer-Seller chat (we may monitor the Buyer-Seller chat for fraud, safety and service quality in accordance with our Privacy Policy)"
All,Vestiaire Collective,2025-02-17/2025-12-31,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,"When users register and buy/sell on our platform, they commit to following our platform rules, including our Terms of Use, Seller T&Cs, Buyer T&Cs, Catalogue Rules, Listing Guidelines and Buyer-Seller Chat Rules.
Our Trust team is dedicated to detecting potential content violations and enforcing our policies when items or user accounts are flagged for contravening our platform rules. This includes actions such as listing illegal or prohibited products.

Our approach to platform monitoring is the following: 

1. Pre publication: 
a) Items: Digital verification blocking high-risk items based on text and image analysis
b) Users: Automated closure of fraudulent accounts and repeat offenders; manual review of high-risk accounts may lead to closure

2. Post publication: 
a) Items: Physical authentication & QC blocking illegal and prohibited items before shipping; Catalogue monitoring by Curation and Trust teams; Return process for buyers; Community raising alerts on suspected illegal or prohibited items
b) Users: Automated closure of fraudulent accounts and repeat offenders; Fraud reviews on high-risk accounts; Community raising alerts on suspicious or non-compliant users

Reports from our community of members and brands are also an integral part of our process. Reports generated by our community of users and luxury and fashion brands is an important part of our platform monitoring and enforcement process. As part of the implementation of the DSA compliance program, we enhanced our member reporting tools and updated the report template to better align with our platform rules."
All,Vestiaire Collective,2025-02-17/2025-12-31,Qualitative description of the automated means,"We use automated tools to identify and deactivate fraudulent accounts without an initial manual review or user report. These automated tools are calibrated to detect fraud patterns based on behaviour observed by our fraud team. We also use automated tools to flag high-risk product listings for manual review before any enforcement action is taken. 

In some cases Vestiaire Collective utilises automated tools to queue content for human review."
All,Vestiaire Collective,2025-02-17/2025-12-31,Qualitative description of indicators of accuracy and possible rate of error of automated means,"At Vestiaire Collective, we go beyond traditional processes to detect illegal and prohibited products and fraudulent and high-risk users. Our team leverages a combination of human expertise and technology (including the use of third-party and proprietary software and algorithms) to ensure a high degree of accuracy:
• Machine learning-based algorithms
• Authentication technology (e.g. RFID readers)
• Artificial Intelligence (AI) systems

We monitor automated and manual action error rate. Our standard is to have an error rate below 1%. To do so, there is a constant KPI monitoring and an continuous improvement of our tools and performances. Out of it, every user has the ability to contact us, notably our Customer Service.

Regarding the cases where Vestiaire Collective utilises automated tools to queue content for human review: we do not calculate an error rate for these systems as they do not make moderation decisions or apply enforcement actions to content – whether a product listing or user account violates our policies is determined by Vestiaire Collecitve human reviewers within our curation, fraud and payments teams."
All,Vestiaire Collective,2025-02-17/2025-12-31,Specification of the precise purposes to apply automated means,"- Automated fraudulent account detection: [automation] assess fraud risk of accounts at registration, log in, account update and first listing events
- Couterfeiters detection: measure seller statistics and then disable the one with fakes in their assortment
- Manual fraudulent account detection: [third party] assess fraud risk of accounts at registration, log in, account update and 5 first listing events 
- Size discrepencies detection: Detection of potential mismatch between size label and size filled by the seller
- Counterfeit Risk measurement: Measurement of counterfeit risk in order Digital Authentication to focus on riskiest products
- Chat Moderation risk measurement: All messages sent through the buyer/seller chat are measured by our chat moderation risk measurement tool. According to the risk score, messages are blocked and members can be banned (24H or permanent) after moderation action"
All,Vestiaire Collective,2025-02-17/2025-12-31,Safeguards applied to the use of automated means,"While these automated systems allow us to review the millions of accounts and product listings on the platform, human reviews and other safeguards are critical to ensuring those decisions have a high level of accuracy. We allow users to appeal a decision if they believe the decision is incorrect; and we regularly retrain our system to reflect changes in fraud and other behavioural patterns over time.
- Automated fraudulent account detection: automation limited to high risk assessment
- Couterfeiters detection: Ability to contact Vestiaire Customer Service.
- Manual fraudulent account detection: Manual review before action taken for medium risk. Any deactivated customer has ability to contact Vestiaire Customer Service. Manual review of decision by Fraud team expert.
- Size discrepencies detection: Quality Control Digital is processing all items sent by the tool.
- Counterfeit Risk measurement: Digital Authentication is processing all items sent by the tool before publication.
- Chat Moderation risk measurement: Ability to contact Vestiaire Customer Service. Manual moderation after the tool scoring."
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,High-level description of the content moderation governance structure,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Qualifications of the human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Training given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Support given to human resources dedicated to content moderation,Free text
Only for VLOPs,,YYYY-MM-DD/YYYY-MM-DD,Methodology used to compute the number of human resources dedicated to content moderation,Free text
