Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Total number,3499487,"Sheet 8 reports additional information regarding LinkedIn's automated systems for content moderation and measures of the precision, accuracy, and recall of those systems. 

When users receive a statement under DSA Article 17 concerning a moderation action, the statement discloses whether the moderation decision was made by a human or LinkedIn’s automated system. Notices are sent by email and typically contain a link to a notice page containing additional information (for example, regarding the content at issue, the policy violated, the action LinkedIn has taken, and appeal and other redress information). LinkedIn reviews submitted appeals and notifies the user of its appeal decision.

As provided by Commission Implementing Regulation (EU) 2024/2835, precision, accuracy, and recall percentages are reported in the [0,1] interval, rounded to the nearest hundredth. Percentages 99 percent and above are reported as .99."
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,507941,
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,0.99,"Accuracy is a measure of the proportion of correct moderation decisions made by LinkedIn's automated system -- including both decisions that a piece of content is violative and decisions that a piece of content is not violative. A high accuracy means fewer false positives and false negatives. 

To calculate accuracy, LinkedIn takes the number of correct moderation decisions by the automated system (both that content is violative and non-violative), divided by the number of decisions made by the automated system during the reporting period. A moderation decision is incorrect if the automated system's moderation decision is overturned or changed as of the end of the reporting period. (For example, if the automated system evaluates a piece of content and determines it does not violate LinkedIn's policies, and the content is later restricted (e.g., because it is reported by a user and found to be violative, or otherwise restricted by LinkedIn), that counts against the system's accuracy. Likewise, if the automated system restricts a piece of content and the content is later reinstated following appeal, that also counts against the system's accuracy.) "
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.98,"Precision is a measure of the proportion of correct enforcement actions applied by LinkedIn's automated system (e.g. when the automated system decides to remove a piece of violative content or restrict an account). A high precision means fewer false positives.

Estimated precision rates are based on the number of enforcement actions made by the automated system that are overturned following appeal (i.e. the automated system made an error). To calculate precision, LinkedIn takes one minus the number of enforcement actions by the automated system that were overturned, divided by the number of appealable enforcement actions made by the automated system during the reporting period. "
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.87,"Recall is a measure of the proportion of violative content found and actioned by LinkedIn's automated system, as opposed to other methods. A high recall means fewer false negatives (missed positives). 

To calculate recall, LinkedIn takes the number of correct enforcement actions by the automated system, divided by the total number of correct enforcement actions by any method (whether human, automated system, or otherwise). Correct enforcement actions are computed by multiplying all machine enforcement actions with the precision computed as described above."
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,Own-initiative,3499487,
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Own-initiative,507457,
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Own-initiative,0.99,
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Own-initiative,0.98,
All,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Own-initiative,0.87,
"Only for providers of hosting services, including online platforms",Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Total,0,
"Only for providers of hosting services, including online platforms",Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,1745,
"Only for providers of hosting services, including online platforms",Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,N/A,"As noted in Sheet 4, LinkedIn did not resolve Article 16 notices via automated means during the reporting period. As a result, there is no accuracy of the automated means to report."
"Only for providers of hosting services, including online platforms",Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,N/A,"As noted in Sheet 4, LinkedIn did not resolve Article 16 notices via automated means during the reporting period. As a result, there is no precision of the automated means to report."
"Only for providers of hosting services, including online platforms",Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,N/A,"As noted in Sheet 4, LinkedIn did not resolve Article 16 notices via automated means during the reporting period. As a result, there is no recall of the automated means to report."
Only for providers of online platforms,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means,NAM Trusted Flagger,0,
Only for providers of online platforms,Linkedin,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,9,
