Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
TOTAL,All the entries,TOTAL,"The total category is the sum of all of the below categories.Please note that where the categories and subcategories below indicate that no policies have been mapped to a particular area, this does not necessarily mean we do not enforce against that type of content. In some cases, enforcement for that content may be captured under a different category or subcategory."
Category 1,Animal welfare,STATEMENT_CATEGORY_ANIMAL_WELFARE,"This category encompasses actions taken against accounts and content under our Community Guidelines, specifically our prohibited and regulated goods, services and activities policy and pursuant to our prohibited products policy under our Merchant Guidelines.We remove or limit the distribution of content and accounts offering, manufacturing, or promoting substances, products, activities, or exploitative practices that risk harm to animals. This includes those involving instructions, offers, glorification, or promotion of animal exploitation such as: - The sale of wild animals or protected and endangered wildlife.- Corpses, animal parts or products derived from cat or dog parts, or protected and endangered wildlife, including ivory.- Irresponsible and harmful animal tourism or otherwise exploitative practices like organized animal fighting.We don’t allow the advertising of live animals or products designed to inflict physical harm on animals in the name of training. We also don’t allow products made from tortoise shell, ivory, coral, crocodile skin, pangolin, tiger, polar bear or sea otter fur, and other endangered wildlife. This includes medicinal products made from rhinos, tigers or Asiatic black bears. For a full list of prohibited wildlife products, please visit our partner, the World Wildlife Fund."
Category 1a,Animal harm,KEYWORD_ANIMAL_HARM,"This subcategory encompasses violations related to protected or endangered wildlife and animal exploitation under our Community Guidelines, specifically our prohibited and regulated goods, services and activities policy and pursuant to our prohibited products policy under our Merchant Guidelines."
Category 1b,Unlawful sale of animals,KEYWORD_UNLAWFUL_SALE_ANIMALS,"This subcategory encompasses violations of our prohibited and regulated goods, services and activities policy related to wildlife exploitation."
Category 1c,Not captured by any other sub-category  ,KEYWORD_OTHER,We have not mapped any of our policies to this subcategory.
Category 2,Consumer information infringements,STATEMENT_CATEGORY_CONSUMER_INFORMATION,"This category encompasses violations of our Advertising and Merchant Guidelines related to information merchants and advertisers are required to provide.Pinterest does not facilitate the purchase, sale, or delivery of goods. Merchants on Pinterest are required to provide clear information regarding product quality, pricing, delivery times, and return processes. Advertisers are also required to provide accurate information about product quality, delivery times, return processes, and services. "
Category 2a,"Hidden advertisement or commercial communication, including by influencers ",KEYWORD_HIDDEN_ADVERTISEMENT,We have not mapped any of our policies to this subcategory.
Category 2b,Insufficient information on traders ,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,"This subcategory encompasses violations of our Merchant Guidelines related to incomplete merchant information, including missing contact information or no “about us” page, incomplete websites and broken social media links."
Category 2c,Misleading information about the characteristics of the goods and services,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,This subcategory encompasses violations of our Merchant Guidelines related to mismatched descriptions and missing product categories. 
Category 2d,Misleading information about the consumer’s rights ,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,This subcategory encompasses violations of our Merchant Guidelines related to the findability and clarity of a merchant’s returns policy. 
