Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,Total number,"148,985,779",
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,Total number,"22,917,906",
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,Total number,1.00,"Accuracy reflects the percentage of all unique content that was created during the reporting period that were correctly removed or correctly not removed due to it being non-violating by automated enforcement.

Restriction overturns are captured up until 1 month after the reporting window ended (i.e., end of  Jan 2026). There may be a small portion of overturns that take place after 31 January 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report. "
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,Total number,0.96,"Precision reflects the percentage of automated removals of content that weren’t later restored 

Restriction overturns are captured up until 1 month after the reporting window ended (i.e., end of Jan 2026). There may be a small portion of overturns that take place after 31 January 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report. 
"
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,Total number,0.52,"Recall reflects the percentage of automated content removed prior to receiving user reports, not restored, against all removed content, not restored.

Restriction overturns are captured up until 1 month after the reporting window ended (i.e., end of Jan 2026). There may be a small portion of overturns that take place after 31 January 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report. 
"
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means ,own initiative  ,"159,087,385",
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,own initiative  ,"12,816,300",
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,own initiative  ,1.00,"Accuracy reflects the percentage of all unique content that was created during the reporting period that were correctly removed or correctly not removed due to it being non-violating by automated enforcement.

Restriction overturns are captured up until 1 month after the reporting window ended (i.e., end of  Jan 2026). There may be a small portion of overturns that take place after 31 January 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report. "
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,own initiative  ,0.96,"Precision reflects the percentage of automated removals of content that weren’t later restored 

Restriction overturns are captured up until 1 month after the reporting window ended (i.e., end of Jan 2026). There may be a small portion of overturns that take place after 31 January 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report. 
"
All,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,own initiative  ,0.52,"Recall reflects the percentage of automated content removed prior to receiving user reports, not restored, against all removed content, not restored.

Restriction overturns are captured up until 1 month after the reporting window ended (i.e., end of Jan 2026). There may be a small portion of overturns that take place after 31 January 2026 that are not captured because they extend beyond the time period in which it is feasible to produce and verify the data points for this report. 
"
"Only for providers of hosting services, including online platforms",Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
"Only for providers of hosting services, including online platforms",Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
"Only for providers of hosting services, including online platforms",Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
"Only for providers of hosting services, including online platforms",Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
"Only for providers of hosting services, including online platforms",Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Total,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
Only for providers of online platforms,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
Only for providers of online platforms,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
Only for providers of online platforms,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
Only for providers of online platforms,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
Only for providers of online platforms,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions."
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,bg,0.94,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,bg,0.36,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,cs,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,cs,0.91,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,cs,0.20,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,da,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Precision,da,0.92,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,da,0.10,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Facebook,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,de,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
